Freq.	V(vout)
4.36515832240164e+001	(3.90240399570824e+000dB,-1.63746160686563e+002°)
4.46683592150961e+001	(3.96189858127107e+000dB,-1.63954063148336e+002°)
4.57088189614873e+001	(4.02020440643750e+000dB,-1.64172063127001e+002°)
4.67735141287196e+001	(4.07725175189500e+000dB,-1.64399849971280e+002°)
4.78630092322636e+001	(4.13297312352749e+000dB,-1.64637090986348e+002°)
4.89778819368444e+001	(4.18730341610762e+000dB,-1.64883432294666e+002°)
5.01187233627270e+001	(4.24018006671012e+000dB,-1.65138499747452e+002°)
5.12861383991362e+001	(4.29154319706567e+000dB,-1.65401899873413e+002°)
5.24807460249770e+001	(4.34133574545677e+000dB,-1.65673220868816e+002°)
5.37031796370250e+001	(4.38950358753904e+000dB,-1.65952033605881e+002°)
5.49540873857622e+001	(4.43599564623398e+000dB,-1.66237892668737e+002°)
5.62341325190346e+001	(4.48076399179125e+000dB,-1.66530337397049e+002°)
5.75439937337154e+001	(4.52376393096633e+000dB,-1.66828892944640e+002°)
5.88843655355586e+001	(4.56495408712368e+000dB,-1.67133071335118e+002°)
6.02559586074355e+001	(4.60429647099500e+000dB,-1.67442372518433e+002°)
6.16595001861479e+001	(4.64175654252331e+000dB,-1.67756285421742e+002°)
6.30957344480190e+001	(4.67730326542807e+000dB,-1.68074288987165e+002°)
6.45654229034652e+001	(4.71090915401389e+000dB,-1.68395853199466e+002°)
6.60693448007593e+001	(4.74255031381156e+000dB,-1.68720440098619e+002°)
6.76082975391978e+001	(4.77220647622111e+000dB,-1.69047504776467e+002°)
6.91830970918933e+001	(4.79986102845972e+000dB,-1.69376496353255e+002°)
7.07945784384134e+001	(4.82550103892307e+000dB,-1.69706858944016e+002°)
7.24435960074986e+001	(4.84911727909806e+000dB,-1.70038032604200e+002°)
7.41310241300914e+001	(4.87070424252766e+000dB,-1.70369454262514e+002°)
7.58577575029180e+001	(4.89026016137257e+000dB,-1.70700558645580e+002°)
7.76247116628688e+001	(4.90778702106689e+000dB,-1.71030779188954e+002°)
7.94328234724277e+001	(4.92329057356631e+000dB,-1.71359548947560e+002°)
8.12830516164095e+001	(4.93678034938527e+000dB,-1.71686301503098e+002°)
8.31763771102667e+001	(4.94826966874188e+000dB,-1.72010471873374e+002°)
8.51138038202372e+001	(4.95777565175040e+000dB,-1.72331497433893e+002°)
8.70963589956076e+001	(4.96531922775275e+000dB,-1.72648818846655e+002°)
8.91250938133741e+001	(4.97092514359193e+000dB,-1.72961881009715e+002°)
9.12010839355905e+001	(4.97462197036881e+000dB,-1.73270134027942e+002°)
9.33254300796986e+001	(4.97644210857492e+000dB,-1.73573034209849e+002°)
9.54992586021431e+001	(4.97642179070037e+000dB,-1.73870045095885e+002°)
9.77237220955805e+001	(4.97460108088239e+000dB,-1.74160638520222e+002°)
9.99999999999995e+001	(4.97102387065825e+000dB,-1.74444295710806e+002°)
1.02329299228075e+002	(4.96573786999547e+000dB,-1.74720508431244e+002°)
1.04712854805089e+002	(4.95879459262728e+000dB,-1.74988780163614e+002°)
1.07151930523760e+002	(4.95024933448832e+000dB,-1.75248627333115e+002°)
1.09647819614318e+002	(4.94016114423968e+000dB,-1.75499580580558e+002°)
1.12201845430196e+002	(4.92859278459269e+000dB,-1.75741186073793e+002°)
1.14815362149688e+002	(4.91561068331889e+000dB,-1.75973006862266e+002°)
1.17489755493952e+002	(4.90128487234480e+000dB,-1.76194624268276e+002°)
1.20226443461741e+002	(4.88568891428014e+000dB,-1.76405639313810e+002°)
1.23026877081237e+002	(4.86889981444009e+000dB,-1.76605674174192e+002°)
1.25892541179416e+002	(4.85099791779646e+000dB,-1.76794373656152e+002°)
1.28824955169313e+002	(4.83206678929682e+000dB,-1.76971406688480e+002°)
1.31825673855640e+002	(4.81219307664355e+000dB,-1.77136467821766e+002°)
1.34896288259165e+002	(4.79146635483333e+000dB,-1.77289278722131e+002°)
1.38038426460288e+002	(4.76997895113977e+000dB,-1.77429589651642e+002°)
1.41253754462275e+002	(4.74782575048986e+000dB,-1.77557180923904e+002°)
