Freq.	V(vout)
1.40928879842186e+000	(4.28153112561134e+001dB,1.79998292326184e+002°)
1.41253754462274e+000	(4.28153112560968e+001dB,1.79998288389589e+002°)
1.41579377995707e+000	(4.28153112560801e+001dB,1.79998284443920e+002°)
1.41905752168908e+000	(4.28153112560634e+001dB,1.79998280489154e+002°)
1.42232878712281e+000	(4.28153112560466e+001dB,1.79998276525273e+002°)
1.42560759360218e+000	(4.28153112560297e+001dB,1.79998272552253e+002°)
1.42889395851109e+000	(4.28153112560127e+001dB,1.79998268570075e+002°)
1.43218789927353e+000	(4.28153112559957e+001dB,1.79998264578716e+002°)
1.43548943335364e+000	(4.28153112559786e+001dB,1.79998260578157e+002°)
1.43879857825583e+000	(4.28153112559614e+001dB,1.79998256568376e+002°)
1.44211535152486e+000	(4.28153112559441e+001dB,1.79998252549351e+002°)
1.44543977074592e+000	(4.28153112559268e+001dB,1.79998248521061e+002°)
1.44877185354475e+000	(4.28153112559094e+001dB,1.79998244483485e+002°)
1.45211161758773e+000	(4.28153112558918e+001dB,1.79998240436602e+002°)
1.45545908058195e+000	(4.28153112558742e+001dB,1.79998236380389e+002°)
1.45881426027534e+000	(4.28153112558564e+001dB,1.79998232314826e+002°)
1.46217717445671e+000	(4.28153112558387e+001dB,1.79998228239891e+002°)
1.46554784095590e+000	(4.28153112558209e+001dB,1.79998224155562e+002°)
1.46892627764385e+000	(4.28153112558030e+001dB,1.79998220061818e+002°)
1.47231250243271e+000	(4.28153112557849e+001dB,1.79998215958636e+002°)
1.47570653327588e+000	(4.28153112557669e+001dB,1.79998211845996e+002°)
1.47910838816819e+000	(4.28153112557487e+001dB,1.79998207723876e+002°)
1.48251808514594e+000	(4.28153112557304e+001dB,1.79998203592253e+002°)
1.48593564228699e+000	(4.28153112557121e+001dB,1.79998199451105e+002°)
1.48936107771090e+000	(4.28153112556936e+001dB,1.79998195300411e+002°)
1.49279440957898e+000	(4.28153112556752e+001dB,1.79998191140149e+002°)
1.49623565609442e+000	(4.28153112556565e+001dB,1.79998186970296e+002°)
1.49968483550236e+000	(4.28153112556378e+001dB,1.79998182790831e+002°)
1.50314196609001e+000	(4.28153112556191e+001dB,1.79998178601731e+002°)
1.50660706618673e+000	(4.28153112556002e+001dB,1.79998174402975e+002°)
1.51008015416413e+000	(4.28153112555813e+001dB,1.79998170194539e+002°)
1.51356124843619e+000	(4.28153112555622e+001dB,1.79998165976402e+002°)
1.51705036745932e+000	(4.28153112555431e+001dB,1.79998161748541e+002°)
1.52054752973248e+000	(4.28153112555238e+001dB,1.79998157510933e+002°)
1.52405275379728e+000	(4.28153112555045e+001dB,1.79998153263558e+002°)
1.52756605823806e+000	(4.28153112554851e+001dB,1.79998149006390e+002°)
1.53108746168202e+000	(4.28153112554657e+001dB,1.79998144739409e+002°)
1.53461698279928e+000	(4.28153112554462e+001dB,1.79998140462592e+002°)
1.53815464030302e+000	(4.28153112554265e+001dB,1.79998136175916e+002°)
1.54170045294954e+000	(4.28153112554067e+001dB,1.79998131879357e+002°)
1.54525443953840e+000	(4.28153112553869e+001dB,1.79998127572895e+002°)
1.54881661891247e+000	(4.28153112553669e+001dB,1.79998123256504e+002°)
1.55238700995807e+000	(4.28153112553470e+001dB,1.79998118930164e+002°)
1.55596563160506e+000	(4.28153112553268e+001dB,1.79998114593850e+002°)
1.55955250282694e+000	(4.28153112553067e+001dB,1.79998110247540e+002°)
1.56314764264094e+000	(4.28153112552863e+001dB,1.79998105891211e+002°)
1.56675107010813e+000	(4.28153112552660e+001dB,1.79998101524839e+002°)
1.57036280433354e+000	(4.28153112552455e+001dB,1.79998097148402e+002°)
1.57398286446620e+000	(4.28153112552248e+001dB,1.79998092761876e+002°)
1.57761126969933e+000	(4.28153112552041e+001dB,1.79998088365238e+002°)
1.58124803927037e+000	(4.28153112551834e+001dB,1.79998083958464e+002°)
1.58489319246110e+000	(4.28153112551625e+001dB,1.79998079541533e+002°)
1.58854674859776e+000	(4.28153112551415e+001dB,1.79998075114419e+002°)
1.59220872705115e+000	(4.28153112551205e+001dB,1.79998070677099e+002°)
1.59587914723672e+000	(4.28153112550993e+001dB,1.79998066229550e+002°)
1.59955802861465e+000	(4.28153112550780e+001dB,1.79998061771749e+002°)
1.60324539069002e+000	(4.28153112550568e+001dB,1.79998057303672e+002°)
1.60694125301286e+000	(4.28153112550352e+001dB,1.79998052825294e+002°)
1.61064563517825e+000	(4.28153112550136e+001dB,1.79998048336593e+002°)
1.61435855682647e+000	(4.28153112549921e+001dB,1.79998043837544e+002°)
1.61808003764305e+000	(4.28153112549703e+001dB,1.79998039328124e+002°)
1.62181009735891e+000	(4.28153112549485e+001dB,1.79998034808308e+002°)
1.62554875575047e+000	(4.28153112549264e+001dB,1.79998030278074e+002°)
1.62929603263970e+000	(4.28153112549044e+001dB,1.79998025737396e+002°)
1.63305194789432e+000	(4.28153112548823e+001dB,1.79998021186250e+002°)
1.63681652142779e+000	(4.28153112548600e+001dB,1.79998016624613e+002°)
1.64058977319952e+000	(4.28153112548376e+001dB,1.79998012052461e+002°)
1.64437172321491e+000	(4.28153112548152e+001dB,1.79998007469769e+002°)
1.64816239152549e+000	(4.28153112547926e+001dB,1.79998002876512e+002°)
1.65196179822900e+000	(4.28153112547699e+001dB,1.79997998272667e+002°)
1.65576996346951e+000	(4.28153112547471e+001dB,1.79997993658209e+002°)
1.65958690743754e+000	(4.28153112547242e+001dB,1.79997989033113e+002°)
1.66341265037015e+000	(4.28153112547012e+001dB,1.79997984397356e+002°)
1.66724721255104e+000	(4.28153112546781e+001dB,1.79997979750912e+002°)
1.67109061431069e+000	(4.28153112546550e+001dB,1.79997975093757e+002°)
1.67494287602642e+000	(4.28153112546316e+001dB,1.79997970425866e+002°)
1.67880401812254e+000	(4.28153112546083e+001dB,1.79997965747214e+002°)
1.68267406107045e+000	(4.28153112545846e+001dB,1.79997961057777e+002°)
1.68655302538872e+000	(4.28153112545610e+001dB,1.79997956357530e+002°)
1.69044093164324e+000	(4.28153112545373e+001dB,1.79997951646448e+002°)
1.69433780044731e+000	(4.28153112545134e+001dB,1.79997946924505e+002°)
1.69824365246172e+000	(4.28153112544895e+001dB,1.79997942191677e+002°)
1.70215850839493e+000	(4.28153112544655e+001dB,1.79997937447939e+002°)
1.70608238900310e+000	(4.28153112544413e+001dB,1.79997932693266e+002°)
1.71001531509027e+000	(4.28153112544169e+001dB,1.79997927927631e+002°)
1.71395730750840e+000	(4.28153112543925e+001dB,1.79997923151011e+002°)
1.71790838715757e+000	(4.28153112543680e+001dB,1.79997918363380e+002°)
1.72186857498599e+000	(4.28153112543434e+001dB,1.79997913564712e+002°)
1.72583789199018e+000	(4.28153112543185e+001dB,1.79997908754982e+002°)
1.72981635921508e+000	(4.28153112542937e+001dB,1.79997903934164e+002°)
1.73380399775412e+000	(4.28153112542687e+001dB,1.79997899102234e+002°)
1.73780082874935e+000	(4.28153112542436e+001dB,1.79997894259164e+002°)
1.74180687339159e+000	(4.28153112542184e+001dB,1.79997889404930e+002°)
1.74582215292048e+000	(4.28153112541932e+001dB,1.79997884539506e+002°)
1.74984668862464e+000	(4.28153112541678e+001dB,1.79997879662866e+002°)
1.75388050184174e+000	(4.28153112541421e+001dB,1.79997874774984e+002°)
1.75792361395867e+000	(4.28153112541165e+001dB,1.79997869875834e+002°)
1.76197604641161e+000	(4.28153112540907e+001dB,1.79997864965391e+002°)
1.76603782068614e+000	(4.28153112540648e+001dB,1.79997860043628e+002°)
1.77010895831740e+000	(4.28153112540387e+001dB,1.79997855110519e+002°)
1.77418948089014e+000	(4.28153112540126e+001dB,1.79997850166038e+002°)
1.77827941003890e+000	(4.28153112539863e+001dB,1.79997845210159e+002°)
1.78237876744807e+000	(4.28153112539599e+001dB,1.79997840242855e+002°)
1.78648757485203e+000	(4.28153112539334e+001dB,1.79997835264101e+002°)
1.79060585403527e+000	(4.28153112539068e+001dB,1.79997830273869e+002°)
