time	V(n006)
4.357187719993634e-005	1.946215e-001
4.367187719993634e-005	3.384951e-001
4.377187719993634e-005	4.780612e-001
4.387187719993635e-005	6.134486e-001
4.397187719993635e-005	7.447824e-001
4.417187719993635e-005	9.957715e-001
4.437187719993636e-005	1.231956e+000
4.467187719993637e-005	1.560371e+000
4.497187719993637e-005	1.860162e+000
4.527187719993638e-005	2.133824e+000
4.557187719993639e-005	2.379492e+000
4.587187719993640e-005	2.607668e+000
4.617187719993640e-005	2.818354e+000
4.647187719993641e-005	3.011549e+000
4.677187719993642e-005	3.187252e+000
4.707187719993642e-005	3.345465e+000
4.737187719993643e-005	3.486187e+000
4.767187719993644e-005	3.615940e+000
4.797187719993645e-005	3.736455e+000
4.827187719993645e-005	3.847731e+000
4.857187719993646e-005	3.949770e+000
4.887187719993647e-005	4.042571e+000
4.917187719993648e-005	4.126133e+000
4.947187719993648e-005	4.200458e+000
4.977187719993649e-005	4.268988e+000
5.007187719993650e-005	4.332640e+000
5.037187719993651e-005	4.391412e+000
5.067187719993651e-005	4.445305e+000
5.097187719993652e-005	4.494319e+000
5.127187719993653e-005	4.538454e+000
5.157187719993653e-005	4.577710e+000
5.187187719993654e-005	4.613905e+000
5.217187719993655e-005	4.647524e+000
5.247187719993656e-005	4.678566e+000
5.277187719993656e-005	4.707030e+000
5.307187719993657e-005	4.732918e+000
5.337187719993658e-005	4.756228e+000
5.367187719993659e-005	4.776961e+000
5.397187719993659e-005	4.796079e+000
5.427187719993660e-005	4.813835e+000
5.457187719993661e-005	4.830230e+000
5.487187719993661e-005	4.845264e+000
5.517187719993662e-005	4.858936e+000
5.547187719993663e-005	4.871248e+000
5.577187719993664e-005	4.882199e+000
5.607187719993664e-005	4.892296e+000
5.637187719993665e-005	4.901674e+000
5.667187719993666e-005	4.910333e+000
5.697187719993667e-005	4.918274e+000
5.727187719993667e-005	4.925495e+000
5.757187719993668e-005	4.931998e+000
5.787187719993669e-005	4.937781e+000
5.817187719993669e-005	4.943114e+000
5.847187719993670e-005	4.948068e+000
5.877187719993671e-005	4.952641e+000
5.907187719993672e-005	4.956835e+000
5.937187719993672e-005	4.960649e+000
5.967187719993673e-005	4.964084e+000
5.997187719993674e-005	4.967138e+000
6.026118331423149e-005	4.969860e+000
6.055048942852624e-005	4.972395e+000
6.083979554282099e-005	4.974741e+000
6.112910165711574e-005	4.976900e+000
6.141840777141050e-005	4.978870e+000
6.170771388570524e-005	4.980653e+000
6.199702000000000e-005	4.982248e+000
6.199703000000000e-005	4.982233e+000
6.219772388573056e-005	4.397042e+000
6.239841777146112e-005	3.841774e+000
6.259911165719169e-005	3.316431e+000
6.279980554292226e-005	2.821011e+000
6.300049942865283e-005	2.355514e+000
6.320119331438339e-005	1.919942e+000
6.340188720011395e-005	1.514293e+000
6.360188720011396e-005	1.130055e+000
6.370188720011396e-005	9.465207e-001
