Freq.	V(out)/V(in)
4.46683592150962e-005	(1.13032156814517e+002dB,1.78247703689918e+002°)
4.57088189614874e-005	(1.13031965435984e+002dB,1.78206913807415e+002°)
4.67735141287197e-005	(1.13031765047097e+002dB,1.78165175688922e+002°)
4.78630092322638e-005	(1.13031555224082e+002dB,1.78122467381629e+002°)
4.89778819368445e-005	(1.13031335523278e+002dB,1.78078766430973e+002°)
5.01187233627271e-005	(1.13031105480205e+002dB,1.78034049869630e+002°)
5.12861383991364e-005	(1.13030864608596e+002dB,1.77988294206310e+002°)
5.24807460249772e-005	(1.13030612399376e+002dB,1.77941475414329e+002°)
5.37031796370252e-005	(1.13030348319599e+002dB,1.77893568919983e+002°)
5.49540873857624e-005	(1.13030071811334e+002dB,1.77844549590700e+002°)
5.62341325190348e-005	(1.13029782290505e+002dB,1.77794391722991e+002°)
5.75439937337156e-005	(1.13029479145665e+002dB,1.77743069030177e+002°)
5.88843655355588e-005	(1.13029161736726e+002dB,1.77690554629913e+002°)
6.02559586074357e-005	(1.13028829393626e+002dB,1.77636821031494e+002°)
6.16595001861481e-005	(1.13028481414936e+002dB,1.77581840122947e+002°)
6.30957344480192e-005	(1.13028117066396e+002dB,1.77525583157923e+002°)
6.45654229034654e-005	(1.13027735579397e+002dB,1.77468020742364e+002°)
6.60693448007595e-005	(1.13027336149383e+002dB,1.77409122820977e+002°)
6.76082975391980e-005	(1.13026917934183e+002dB,1.77348858663491e+002°)
6.91830970918935e-005	(1.13026480052269e+002dB,1.77287196850715e+002°)
7.07945784384136e-005	(1.13026021580930e+002dB,1.77224105260406e+002°)
7.24435960074988e-005	(1.13025541554372e+002dB,1.77159551052924e+002°)
7.41310241300916e-005	(1.13025038961720e+002dB,1.77093500656717e+002°)
7.58577575029182e-005	(1.13024512744938e+002dB,1.77025919753606e+002°)
7.76247116628690e-005	(1.13023961796653e+002dB,1.76956773263898e+002°)
7.94328234724280e-005	(1.13023384957877e+002dB,1.76886025331333e+002°)
8.12830516164097e-005	(1.13022781015634e+002dB,1.76813639307860e+002°)
8.31763771102669e-005	(1.13022148700473e+002dB,1.76739577738268e+002°)
8.51138038202375e-005	(1.13021486683875e+002dB,1.76663802344664e+002°)
8.70963589956079e-005	(1.13020793575540e+002dB,1.76586274010834e+002°)
8.91250938133743e-005	(1.13020067920554e+002dB,1.76506952766472e+002°)
9.12010839355908e-005	(1.13019308196434e+002dB,1.76425797771315e+002°)
9.33254300796989e-005	(1.13018512810038e+002dB,1.76342767299184e+002°)
9.54992586021434e-005	(1.13017680094336e+002dB,1.76257818721955e+002°)
9.77237220955808e-005	(1.13016808305048e+002dB,1.76170908493482e+002°)
9.99999999999997e-005	(1.13015895617123e+002dB,1.76081992133481e+002°)
1.02329299228075e-004	(1.13014940121075e+002dB,1.75991024211412e+002°)
1.04712854805090e-004	(1.13013939819148e+002dB,1.75897958330375e+002°)
1.07151930523760e-004	(1.13012892621326e+002dB,1.75802747111049e+002°)
1.09647819614318e-004	(1.13011796341162e+002dB,1.75705342175702e+002°)
1.12201845430196e-004	(1.13010648691430e+002dB,1.75605694132308e+002°)
