Freq.	V(outder)/V(VIN)
7.41310241300916e+001	(-2.59679443744462e+001dB,-9.00003389282147e+001°)
7.58577575029182e+001	(-2.57679442549406e+001dB,-9.00003468228671e+001°)
7.76247116628690e+001	(-2.55679441298028e+001dB,-9.00003549014096e+001°)
7.94328234724279e+001	(-2.53679439987675e+001dB,-9.00003631681255e+001°)
8.12830516164097e+001	(-2.51679438615566e+001dB,-9.00003716273980e+001°)
8.31763771102669e+001	(-2.49679437178792e+001dB,-9.00003802837123e+001°)
8.51138038202374e+001	(-2.47679435674305e+001dB,-9.00003891416580e+001°)
8.70963589956078e+001	(-2.45679434098914e+001dB,-9.00003982059319e+001°)
8.91250938133743e+001	(-2.43679432449276e+001dB,-9.00004074813398e+001°)
9.12010839355907e+001	(-2.41679430721894e+001dB,-9.00004169727997e+001°)
9.33254300796988e+001	(-2.39679428913102e+001dB,-9.00004266853441e+001°)
9.54992586021433e+001	(-2.37679427019065e+001dB,-9.00004366241228e+001°)
9.77237220955808e+001	(-2.35679425035765e+001dB,-9.00004467944053e+001°)
9.99999999999997e+001	(-2.33679422958994e+001dB,-9.00004572015842e+001°)
1.02329299228075e+002	(-2.31679420784348e+001dB,-9.00004678511775e+001°)
1.04712854805090e+002	(-2.29679418507215e+001dB,-9.00004787488317e+001°)
1.07151930523760e+002	(-2.27679416122763e+001dB,-9.00004899003249e+001°)
1.09647819614318e+002	(-2.25679413625935e+001dB,-9.00005013115697e+001°)
1.12201845430196e+002	(-2.23679411011436e+001dB,-9.00005129886166e+001°)
1.14815362149688e+002	(-2.21679408273718e+001dB,-9.00005249376569e+001°)
1.17489755493953e+002	(-2.19679405406976e+001dB,-9.00005371650261e+001°)
1.20226443461741e+002	(-2.17679402405129e+001dB,-9.00005496772074e+001°)
1.23026877081238e+002	(-2.15679399261808e+001dB,-9.00005624808349e+001°)
1.25892541179416e+002	(-2.13679395970348e+001dB,-9.00005755826972e+001°)
1.28824955169313e+002	(-2.11679392523765e+001dB,-9.00005889897411e+001°)
1.31825673855640e+002	(-2.09679388914751e+001dB,-9.00006027090752e+001°)
1.34896288259165e+002	(-2.07679385135648e+001dB,-9.00006167479737e+001°)
1.38038426460288e+002	(-2.05679381178441e+001dB,-9.00006311138802e+001°)
1.41253754462275e+002	(-2.03679377034737e+001dB,-9.00006458144117e+001°)
1.44543977074592e+002	(-2.01679372695746e+001dB,-9.00006608573626e+001°)
1.47910838816820e+002	(-1.99679368152264e+001dB,-9.00006762507090e+001°)
1.51356124843620e+002	(-1.97679363394654e+001dB,-9.00006920026125e+001°)
1.54881661891248e+002	(-1.95679358412825e+001dB,-9.00007081214250e+001°)
1.58489319246111e+002	(-1.93679353196209e+001dB,-9.00007246156930e+001°)
1.62181009735892e+002	(-1.91679347733741e+001dB,-9.00007414941619e+001°)
1.65958690743755e+002	(-1.89679342013835e+001dB,-9.00007587657809e+001°)
1.69824365246174e+002	(-1.87679336024357e+001dB,-9.00007764397077e+001°)
1.73780082874937e+002	(-1.85679329752604e+001dB,-9.00007945253133e+001°)
1.77827941003892e+002	(-1.83679323185271e+001dB,-9.00008130321868e+001°)
1.81970085860998e+002	(-1.81679316308429e+001dB,-9.00008319701409e+001°)
1.86208713666286e+002	(-1.79679309107491e+001dB,-9.00008513492167e+001°)
1.90546071796324e+002	(-1.77679301567182e+001dB,-9.00008711796893e+001°)
1.94984459975804e+002	(-1.75679293671509e+001dB,-9.00008914720731e+001°)
1.99526231496887e+002	(-1.73679285403724e+001dB,-9.00009122371274e+001°)
2.04173794466952e+002	(-1.71679276746289e+001dB,-9.00009334858621e+001°)
2.08929613085403e+002	(-1.69679267680841e+001dB,-9.00009552295436e+001°)
2.13796208950222e+002	(-1.67679258188150e+001dB,-9.00009774797006e+001°)
2.18776162394954e+002	(-1.65679248248082e+001dB,-9.00010002481306e+001°)
2.23872113856833e+002	(-1.63679237839551e+001dB,-9.00010235469056e+001°)
2.29086765276776e+002	(-1.61679226940480e+001dB,-9.00010473883791e+001°)
