Freq.	Impedancia MAG	Impedancia PHA
1.90546071796323	9280633.49853681	-89.9979623095078
1.9498445997580303	9069380.48890408	-89.997914845227
1.99526231496887	8862936.18485419	-89.9978662756469
2.04173794466952	8661191.126884352	-89.9978165749871
2.08929613085403	8464038.347095197	-89.9977657165726
2.1379620895022198	8271373.312471106	-89.9977136734817
2.18776162394954	8083093.869463155	-89.9976604181202
2.23872113856832	7899100.189816458	-89.9976059224571
2.29086765276776	7719294.717647276	-89.9975501570964
2.3442288153199	7543582.117714102	-89.9974930927412
2.3988329190194704	7371869.22487127	-89.9974346992841
2.4547089156850097	7204064.994669861	-89.9973749461099
2.51188643150956	7040080.455085624	-89.9973138004524
2.57039578276884	6879828.6593448855	-89.9972512307817
2.6302679918953595	6723224.639824902	-89.997187203913
2.6915348039269	6570185.363001357	-89.9971216852921
2.75422870333815	6420629.685423735	-89.9970546408656
2.81838293126443	6274478.310691957	-89.9969860346687
2.88403150312658	6131653.747413783	-89.9969158305647
2.95120922666636	5992080.268114222	-89.9968439909489
3.0199517204019903	5855683.869087562	-89.9967704778315
3.0902954325135696	5722392.231157297	-89.996695252664
3.16227766016835	5592134.681333057	-89.9966182752371
3.23593656929626	5464842.1553374585	-89.9965395049263
3.31131121482589	5340447.160988016	-89.9964588995413
3.388441561392	5218883.742412484	-89.9963764168209
3.46736850452529	5100087.445077544	-89.9962920125863
3.54813389233573	4983995.281613552	-89.9962056426361
3.63078054770098	4870545.6984190205	-89.9961172605449
3.7153522909717	4759678.543022928	-89.9960268199237
3.80189396320558	4651335.032192209	-89.9959342725963
3.8904514499427796	4545457.72076295	-89.9958395696453
3.98107170553494	4441990.471183878	-89.9957426608056
4.07380277804109	4340878.423748848	-89.9956434947262
4.16869383470332	4242067.96751304	-89.9955420184916
4.26579518801589	4145506.711863777	-89.9954381788903
4.36515832240162	4051143.45874523	-89.9953319204265
4.466835921509589	3958928.17551167	-89.9952231867793
4.57088189614871	3868811.968399777	-89.9951119205683
4.67735141287194	3780747.0566028547	-89.9949980626207
4.78630092322634	3694686.746939447	-89.9948815524762
4.89778819368442	3610585.409094607	-89.9947623285955
5.011872336272679	3528398.45142536	-89.9946403274395
5.12861383991361	3448082.297318801	-89.9945154846829
