Freq.	V(v4)
1.49968483550236e+005	(-6.01102018847515e+000dB,3.10347471636586e+000°)
1.50314196609001e+005	(-6.01066964304412e+000dB,3.10863870795563e+000°)
1.50660706618673e+005	(-6.01031757215619e+000dB,3.11381779951757e+000°)
1.51008015416414e+005	(-6.00996396852263e+000dB,3.11901200898489e+000°)
1.51356124843619e+005	(-6.00960882482442e+000dB,3.12422135430865e+000°)
1.51705036745932e+005	(-6.00925213371108e+000dB,3.12944585345293e+000°)
1.52054752973248e+005	(-6.00889388780106e+000dB,3.13468552439704e+000°)
1.52405275379728e+005	(-6.00853407968157e+000dB,3.13994038513473e+000°)
1.52756605823806e+005	(-6.00817270190843e+000dB,3.14521045367536e+000°)
1.53108746168202e+005	(-6.00780974700552e+000dB,3.15049574803874e+000°)
1.53461698279928e+005	(-6.00744520746548e+000dB,3.15579628626088e+000°)
1.53815464030302e+005	(-6.00707907574863e+000dB,3.16111208638952e+000°)
1.54170045294955e+005	(-6.00671134428384e+000dB,3.16644316648646e+000°)
1.54525443953840e+005	(-6.00634200546713e+000dB,3.17178954462339e+000°)
1.54881661891247e+005	(-6.00597105166298e+000dB,3.17715123888704e+000°)
1.55238700995807e+005	(-6.00559847520228e+000dB,3.18252826737093e+000°)
1.55596563160506e+005	(-6.00522426838471e+000dB,3.18792064818593e+000°)
1.55955250282694e+005	(-6.00484842347623e+000dB,3.19332839944839e+000°)
1.56314764264094e+005	(-6.00447093271039e+000dB,3.19875153928914e+000°)
1.56675107010813e+005	(-6.00409178828744e+000dB,3.20419008584556e+000°)
1.57036280433354e+005	(-6.00371098237424e+000dB,3.20964405726560e+000°)
1.57398286446620e+005	(-6.00332850710491e+000dB,3.21511347170859e+000°)
1.57761126969933e+005	(-6.00294435457968e+000dB,3.22059834734101e+000°)
1.58124803927037e+005	(-6.00255851686510e+000dB,3.22609870233669e+000°)
1.58489319246110e+005	(-6.00217098599437e+000dB,3.23161455488054e+000°)
1.58854674859776e+005	(-6.00178175396606e+000dB,3.23714592316237e+000°)
1.59220872705115e+005	(-6.00139081274497e+000dB,3.24269282537932e+000°)
1.59587914723672e+005	(-6.00099815426197e+000dB,3.24825527973789e+000°)
1.59955802861465e+005	(-6.00060377041316e+000dB,3.25383330444871e+000°)
1.60324539069002e+005	(-6.00020765306007e+000dB,3.25942691772902e+000°)
1.60694125301286e+005	(-5.99980979402973e+000dB,3.26503613780148e+000°)
1.61064563517825e+005	(-5.99941018511434e+000dB,3.27066098289585e+000°)
1.61435855682647e+005	(-5.99900881807068e+000dB,3.27630147124251e+000°)
1.61808003764305e+005	(-5.99860568462092e+000dB,3.28195762108084e+000°)
1.62181009735891e+005	(-5.99820077645134e+000dB,3.28762945065001e+000°)
1.62554875575047e+005	(-5.99779408521295e+000dB,3.29331697819463e+000°)
1.62929603263970e+005	(-5.99738560252156e+000dB,3.29902022196361e+000°)
1.63305194789432e+005	(-5.99697531995641e+000dB,3.30473920020597e+000°)
