Freq.	V(out)
1.42560759360218e+000	(-9.04103839415584e+001dB,9.00793510979070e+001°)
1.42889395851109e+000	(-9.03903838750809e+001dB,9.00795340205227e+001°)
1.43218789927353e+000	(-9.03703838082966e+001dB,9.00797173648148e+001°)
1.43548943335364e+000	(-9.03503837412040e+001dB,9.00799011317553e+001°)
1.43879857825583e+000	(-9.03303836738017e+001dB,9.00800853223184e+001°)
1.44211535152486e+000	(-9.03103836060884e+001dB,9.00802699374806e+001°)
1.44543977074592e+000	(-9.02903835380624e+001dB,9.00804549782208e+001°)
1.44877185354475e+000	(-9.02703834697225e+001dB,9.00806404455199e+001°)
1.45211161758773e+000	(-9.02503834010671e+001dB,9.00808263403613e+001°)
1.45545908058195e+000	(-9.02303833320948e+001dB,9.00810126637305e+001°)
1.45881426027534e+000	(-9.02103832628042e+001dB,9.00811994166154e+001°)
1.46217717445671e+000	(-9.01903831931938e+001dB,9.00813866000060e+001°)
1.46554784095590e+000	(-9.01703831232620e+001dB,9.00815742148948e+001°)
1.46892627764385e+000	(-9.01503830530074e+001dB,9.00817622622764e+001°)
1.47231250243271e+000	(-9.01303829824286e+001dB,9.00819507431478e+001°)
1.47570653327588e+000	(-9.01103829115240e+001dB,9.00821396585082e+001°)
1.47910838816819e+000	(-9.00903828402921e+001dB,9.00823290093593e+001°)
1.48251808514594e+000	(-9.00703827687314e+001dB,9.00825187967049e+001°)
1.48593564228699e+000	(-9.00503826968404e+001dB,9.00827090215512e+001°)
1.48936107771090e+000	(-9.00303826246176e+001dB,9.00828996849067e+001°)
1.49279440957898e+000	(-9.00103825520614e+001dB,9.00830907877823e+001°)
1.49623565609442e+000	(-8.99903824791703e+001dB,9.00832823311911e+001°)
1.49968483550236e+000	(-8.99703824059428e+001dB,9.00834743161486e+001°)
1.50314196609001e+000	(-8.99503823323772e+001dB,9.00836667436727e+001°)
1.50660706618673e+000	(-8.99303822584721e+001dB,9.00838596147835e+001°)
1.51008015416413e+000	(-8.99103821842259e+001dB,9.00840529305037e+001°)
1.51356124843619e+000	(-8.98903821096370e+001dB,9.00842466918581e+001°)
1.51705036745932e+000	(-8.98703820347037e+001dB,9.00844408998739e+001°)
1.52054752973248e+000	(-8.98503819594246e+001dB,9.00846355555809e+001°)
1.52405275379728e+000	(-8.98303818837981e+001dB,9.00848306600109e+001°)
1.52756605823806e+000	(-8.98103818078224e+001dB,9.00850262141984e+001°)
1.53108746168202e+000	(-8.97903817314961e+001dB,9.00852222191802e+001°)
1.53461698279928e+000	(-8.97703816548175e+001dB,9.00854186759953e+001°)
1.53815464030302e+000	(-8.97503815777849e+001dB,9.00856155856854e+001°)
1.54170045294954e+000	(-8.97303815003968e+001dB,9.00858129492945e+001°)
1.54525443953840e+000	(-8.97103814226515e+001dB,9.00860107678687e+001°)
1.54881661891247e+000	(-8.96903813445472e+001dB,9.00862090424571e+001°)
1.55238700995807e+000	(-8.96703812660825e+001dB,9.00864077741106e+001°)
1.55596563160506e+000	(-8.96503811872557e+001dB,9.00866069638829e+001°)
1.55955250282694e+000	(-8.96303811080649e+001dB,9.00868066128301e+001°)
