Freq.	V(outint)
5.75439937337152e+003	(-1.18359336993680e+001dB,-8.85589680530347e+001°)
5.88843655355584e+003	(-1.20358053055651e+001dB,-8.85929446114304e+001°)
6.02559586074353e+003	(-1.22356826585598e+001dB,-8.86261763988812e+001°)
6.16595001861477e+003	(-1.24355654986776e+001dB,-8.86586809507090e+001°)
6.30957344480188e+003	(-1.26354535778410e+001dB,-8.86904754222862e+001°)
6.45654229034650e+003	(-1.28353466590472e+001dB,-8.87215765977557e+001°)
6.60693448007590e+003	(-1.30352445158686e+001dB,-8.87520008985794e+001°)
6.76082975391976e+003	(-1.32351469319754e+001dB,-8.87817643919175e+001°)
6.91830970918931e+003	(-1.34350537006796e+001dB,-8.88108827988422e+001°)
7.07945784384132e+003	(-1.36349646244994e+001dB,-8.88393715023873e+001°)
7.24435960074984e+003	(-1.38348795147425e+001dB,-8.88672455554388e+001°)
7.41310241300911e+003	(-1.40347981911076e+001dB,-8.88945196884669e+001°)
7.58577575029177e+003	(-1.42347204813044e+001dB,-8.89212083171050e+001°)
7.76247116628685e+003	(-1.44346462206899e+001dB,-8.89473255495756e+001°)
7.94328234724275e+003	(-1.46345752519203e+001dB,-8.89728851939693e+001°)
8.12830516164092e+003	(-1.48345074246193e+001dB,-8.89979007653766e+001°)
8.31763771102664e+003	(-1.50344425950599e+001dB,-8.90223854928783e+001°)
8.51138038202369e+003	(-1.52343806258612e+001dB,-8.90463523263946e+001°)
8.70963589956073e+003	(-1.54343213856981e+001dB,-8.90698139433986e+001°)
8.91250938133738e+003	(-1.56342647490234e+001dB,-8.90927827554940e+001°)
9.12010839355902e+003	(-1.58342105958027e+001dB,-8.91152709148629e+001°)
9.33254300796983e+003	(-1.60341588112608e+001dB,-8.91372903205838e+001°)
9.54992586021428e+003	(-1.62341092856383e+001dB,-8.91588526248244e+001°)
9.77237220955802e+003	(-1.64340619139606e+001dB,-8.91799692389106e+001°)
9.99999999999991e+003	(-1.66340165958147e+001dB,-8.92006513392760e+001°)
1.02329299228075e+004	(-1.68339732351378e+001dB,-8.92209098732925e+001°)
1.04712854805089e+004	(-1.70339317400132e+001dB,-8.92407555649864e+001°)
1.07151930523760e+004	(-1.72338920224767e+001dB,-8.92601989206423e+001°)
1.09647819614318e+004	(-1.74338539983297e+001dB,-8.92792502342959e+001°)
1.12201845430195e+004	(-1.76338175869613e+001dB,-8.92979195931206e+001°)
1.14815362149687e+004	(-1.78337827111779e+001dB,-8.93162168827085e+001°)
1.17489755493952e+004	(-1.80337492970395e+001dB,-8.93341517922492e+001°)
1.20226443461740e+004	(-1.82337172737031e+001dB,-8.93517338196085e+001°)
1.23026877081237e+004	(-1.84336865732731e+001dB,-8.93689722763096e+001°)
1.25892541179416e+004	(-1.86336571306573e+001dB,-8.93858762924195e+001°)
1.28824955169312e+004	(-1.88336288834289e+001dB,-8.94024548213417e+001°)
1.31825673855640e+004	(-1.90336017716947e+001dB,-8.94187166445195e+001°)
1.34896288259164e+004	(-1.92335757379678e+001dB,-8.94346703760499e+001°)
1.38038426460287e+004	(-1.94335507270463e+001dB,-8.94503244672124e+001°)
1.41253754462274e+004	(-1.96335266858961e+001dB,-8.94656872109138e+001°)
1.44543977074591e+004	(-1.98335035635384e+001dB,-8.94807667460511e+001°)
1.47910838816819e+004	(-2.00334813109420e+001dB,-8.94955710617955e+001°)
1.51356124843619e+004	(-2.02334598809195e+001dB,-8.95101080017983e+001°)
1.54881661891247e+004	(-2.04334392280268e+001dB,-8.95243852683228e+001°)
1.58489319246110e+004	(-2.06334193084675e+001dB,-8.95384104263016e+001°)
1.62181009735891e+004	(-2.08334000799995e+001dB,-8.95521909073238e+001°)
1.65958690743755e+004	(-2.10333815018458e+001dB,-8.95657340135529e+001°)
1.69824365246173e+004	(-2.12333635346079e+001dB,-8.95790469215770e+001°)
1.73780082874936e+004	(-2.14333461401827e+001dB,-8.95921366861943e+001°)
