Freq.	V(outint)
1.31825673855640e+002	(9.76221868239710e+000dB,-1.57737129046991e+001°)
1.34896288259165e+002	(9.74714220675548e+000dB,-1.61222823759083e+001°)
1.38038426460288e+002	(9.73141109355779e+000dB,-1.64777092811957e+001°)
1.41253754462275e+002	(9.71499944197000e+000dB,-1.68400728723375e+001°)
1.44543977074592e+002	(9.69788054656068e+000dB,-1.72094495603248e+001°)
1.47910838816820e+002	(9.68002689360724e+000dB,-1.75859126291292e+001°)
1.51356124843620e+002	(9.66141015739458e+000dB,-1.79695319323071e+001°)
1.54881661891248e+002	(9.64200119892043e+000dB,-1.83603735764686e+001°)
1.58489319246111e+002	(9.62177006637716e+000dB,-1.87584996021402e+001°)
1.62181009735892e+002	(9.60068599800967e+000dB,-1.91639676438482e+001°)
1.65958690743755e+002	(9.57871742983224e+000dB,-1.95768305875976e+001°)
1.69824365246174e+002	(9.55583200411117e+000dB,-1.99971362036613e+001°)
1.73780082874937e+002	(9.53199657781695e+000dB,-2.04249267961131e+001°)
1.77827941003892e+002	(9.50717724292212e+000dB,-2.08602388269531e+001°)
1.81970085860998e+002	(9.48133934107597e+000dB,-2.13031025248844e+001°)
1.86208713666286e+002	(9.45444749007652e+000dB,-2.17535415082681e+001°)
1.90546071796324e+002	(9.42646560621574e+000dB,-2.22115724026517e+001°)
1.94984459975804e+002	(9.39735693564402e+000dB,-2.26772044293020e+001°)
1.99526231496887e+002	(9.36708409125837e+000dB,-2.31504390208236e+001°)
2.04173794466952e+002	(9.33560908910863e+000dB,-2.36312694336452e+001°)
2.08929613085403e+002	(9.30289339358032e+000dB,-2.41196803501948e+001°)
2.13796208950222e+002	(9.26889796415798e+000dB,-2.46156474983044e+001°)
2.18776162394954e+002	(9.23358331124491e+000dB,-2.51191372632473e+001°)
2.23872113856833e+002	(9.19690955206325e+000dB,-2.56301063376739e+001°)
2.29086765276776e+002	(9.15883647367463e+000dB,-2.61485013503673e+001°)
2.34422881531991e+002	(9.11932360243858e+000dB,-2.66742585377924e+001°)
2.39883291901948e+002	(9.07833027485103e+000dB,-2.72073034198717e+001°)
2.45470891568502e+002	(9.03581571782206e+000dB,-2.77475504974400e+001°)
2.51188643150957e+002	(8.99173912837744e+000dB,-2.82949029859028e+001°)
2.57039578276885e+002	(8.94605976421675e+000dB,-2.88492525535359e+001°)
2.63026799189537e+002	(8.89873703283686e+000dB,-2.94104791257132e+001°)
2.69153480392690e+002	(8.84973058834703e+000dB,-2.99784506872309e+001°)
2.75422870333816e+002	(8.79900043124714e+000dB,-3.05530231422312e+001°)
2.81838293126444e+002	(8.74650701251318e+000dB,-3.11340402134164e+001°)
2.88403150312659e+002	(8.69221133809002e+000dB,-3.17213333766651e+001°)
2.95120922666637e+002	(8.63607508259813e+000dB,-3.23147218496607e+001°)
3.01995172040200e+002	(8.57806069487486e+000dB,-3.29140126180479e+001°)
3.09029543251358e+002	(8.51813151564167e+000dB,-3.35190005357276e+001°)
3.16227766016837e+002	(8.45625189214440e+000dB,-3.41294684345962e+001°)
3.23593656929627e+002	(8.39238728786453e+000dB,-3.47451873480431e+001°)
3.31131121482590e+002	(8.32650440287928e+000dB,-3.53659167271247e+001°)
3.38844156139201e+002	(8.25857128390887e+000dB,-3.59914047671012e+001°)
3.46736850452530e+002	(8.18855743674312e+000dB,-3.66213887564820e+001°)
3.54813389233574e+002	(8.11643393628999e+000dB,-3.72555954972481e+001°)
3.63078054770100e+002	(8.04217353188964e+000dB,-3.78937417727376e+001°)
3.71535229097171e+002	(7.96575074789768e+000dB,-3.85355348861516e+001°)
3.80189396320559e+002	(7.88714198522886e+000dB,-3.91806732332447e+001°)
3.89045144994279e+002	(7.80632560813109e+000dB,-3.98288469430601e+001°)
3.98107170553495e+002	(7.72328203127693e+000dB,-4.04797385597330e+001°)
4.07380277804111e+002	(7.63799380039073e+000dB,-4.11330237585594e+001°)
4.16869383470333e+002	(7.55044565974343e+000dB,-4.17883721312990e+001°)
4.26579518801591e+002	(7.46062461608435e+000dB,-4.24454479820366e+001°)
4.36515832240164e+002	(7.36851999288069e+000dB,-4.31039111791448e+001°)
4.46683592150961e+002	(7.27412347382934e+000dB,-4.37634180084363e+001°)
4.57088189614873e+002	(7.17742913823514e+000dB,-4.44236220802763e+001°)
4.67735141287196e+002	(7.07843348616850e+000dB,-4.50841752223393e+001°)
4.78630092322636e+002	(6.97713545235158e+000dB,-4.57447284106614e+001°)
4.89778819368444e+002	(6.87353641354429e+000dB,-4.64049326998524e+001°)
5.01187233627270e+002	(6.76764017770939e+000dB,-4.70644401293335e+001°)
5.12861383991362e+002	(6.65945297215071e+000dB,-4.77229046573879e+001°)
5.24807460249770e+002	(6.54898341629311e+000dB,-4.83799830638706e+001°)
5.37031796370250e+002	(6.43624248378604e+000dB,-4.90353358420663e+001°)
5.49540873857622e+002	(6.32124345934849e+000dB,-4.96886280586276e+001°)
5.62341325190346e+002	(6.20400188160439e+000dB,-5.03395301863479e+001°)
5.75439937337154e+002	(6.08453548147020e+000dB,-5.09877189231025e+001°)
5.88843655355586e+002	(5.96286410898126e+000dB,-5.16328779395595e+001°)
6.02559586074355e+002	(5.83900965408608e+000dB,-5.22746986092103e+001°)
6.16595001861479e+002	(5.71299596114578e+000dB,-5.29128806815787e+001°)
6.30957344480190e+002	(5.58484873617316e+000dB,-5.35471329134400e+001°)
6.45654229034652e+002	(5.45459544800088e+000dB,-5.41771736389632e+001°)
6.60693448007592e+002	(5.32226522892353e+000dB,-5.48027313006434e+001°)
6.76082975391978e+002	(5.18788876356285e+000dB,-5.54235449026336e+001°)
6.91830970918933e+002	(5.05149818395679e+000dB,-5.60393644340825e+001°)
7.07945784384134e+002	(4.91312695149243e+000dB,-5.66499512098356e+001°)
7.24435960074986e+002	(4.77280975225066e+000dB,-5.72550781779148e+001°)
7.41310241300914e+002	(4.63058237258041e+000dB,-5.78545301471026e+001°)
7.58577575029180e+002	(4.48648159160659e+000dB,-5.84481039906898e+001°)
7.76247116628688e+002	(4.34054506358614e+000dB,-5.90356087542129e+001°)
7.94328234724277e+002	(4.19281120714764e+000dB,-5.96168657504465e+001°)
8.12830516164095e+002	(4.04331909058396e+000dB,-6.01917085761273e+001°)
8.31763771102666e+002	(3.89210832536149e+000dB,-6.07599830916274e+001°)
8.51138038202372e+002	(3.73921896111488e+000dB,-6.13215473635285e+001°)
8.70963589956076e+002	(3.58469137960118e+000dB,-6.18762715539804e+001°)
8.91250938133741e+002	(3.42856619686834e+000dB,-6.24240377499742e+001°)
9.12010839355905e+002	(3.27088416722310e+000dB,-6.29647398173720e+001°)
9.33254300796986e+002	(3.11168609402135e+000dB,-6.34982831402923e+001°)
9.54992586021431e+002	(2.95101273910768e+000dB,-6.40245843925245e+001°)
9.77237220955805e+002	(2.78890474657013e+000dB,-6.45435712705328e+001°)
9.99999999999994e+002	(2.62540255864560e+000dB,-6.50551821601267e+001°)
1.02329299228075e+003	(2.46054634908373e+000dB,-6.55593658383031e+001°)
1.04712854805089e+003	(2.29437595276960e+000dB,-6.60560811290800e+001°)
1.07151930523760e+003	(2.12693080535053e+000dB,-6.65452965405191e+001°)
1.09647819614318e+003	(1.95824988370196e+000dB,-6.70269898948613e+001°)
1.12201845430196e+003	(1.78837165488462e+000dB,-6.75011479631022e+001°)
1.14815362149688e+003	(1.61733402723742e+000dB,-6.79677660673032e+001°)
1.17489755493952e+003	(1.44517430957724e+000dB,-6.84268476932014e+001°)
1.20226443461741e+003	(1.27192916900364e+000dB,-6.88784041025051e+001°)
1.23026877081237e+003	(1.09763459985874e+000dB,-6.93224539287441e+001°)
1.25892541179416e+003	(9.22325894347929e-001dB,-6.97590228016108e+001°)
1.28824955169313e+003	(7.46037613963626e-001dB,-7.01881429439730e+001°)
1.31825673855640e+003	(5.68803567679489e-001dB,-7.06098527875095e+001°)
1.34896288259165e+003	(3.90656797476270e-001dB,-7.10241966072997e+001°)
1.38038426460288e+003	(2.11629560194462e-001dB,-7.14312241361686e+001°)
1.41253754462275e+003	(3.17533154606940e-002dB,-7.18309902052672e+001°)
1.44543977074592e+003	(-1.48941279757524e-001dB,-7.22235543946028e+001°)
1.47910838816820e+003	(-3.30424379266808e-001dB,-7.26089806825735e+001°)
1.51356124843620e+003	(-5.12666949439047e-001dB,-7.29873371179361e+001°)
1.54881661891247e+003	(-6.95640770700844e-001dB,-7.33586954927364e+001°)
1.58489319246110e+003	(-8.79318434428833e-001dB,-7.37231310331484e+001°)
1.62181009735892e+003	(-1.06367334057034e+000dB,-7.40807220981022e+001°)
