Freq.	V(outint)/V(Vin)
1.47910838816820e+002	(1.21462607162506e+001dB,1.13882790011220e+002°)
1.51356124843620e+002	(1.19784212156431e+001dB,1.13398147998570e+002°)
1.54881661891248e+002	(1.18093581824785e+001dB,1.12921084356027e+002°)
1.58489319246111e+002	(1.16391099133043e+001dB,1.12451610762217e+002°)
1.62181009735892e+002	(1.14677141325698e+001dB,1.11989730491304e+002°)
1.65958690743755e+002	(1.12952079510299e+001dB,1.11535438804868e+002°)
1.69824365246174e+002	(1.11216278286600e+001dB,1.11088723345750e+002°)
1.73780082874937e+002	(1.09470095419254e+001dB,1.10649564531879e+002°)
1.77827941003892e+002	(1.07713881552322e+001dB,1.10217935948253e+002°)
1.81970085860998e+002	(1.05947979963773e+001dB,1.09793804735452e+002°)
1.86208713666286e+002	(1.04172726358041e+001dB,1.09377131973166e+002°)
1.90546071796324e+002	(1.02388448694626e+001dB,1.08967873057445e+002°)
1.94984459975804e+002	(1.00595467050731e+001dB,1.08565978070485e+002°)
1.99526231496887e+002	(9.87940935158296e+000dB,1.08171392141931e+002°)
2.04173794466952e+002	(9.69846321161359e+000dB,1.07784055800837e+002°)
2.08929613085403e+002	(9.51673787668872e+000dB,1.07403905317522e+002°)
2.13796208950222e+002	(9.33426212504326e+000dB,1.07030873034712e+002°)
2.18776162394954e+002	(9.15106392181286e+000dB,1.06664887687478e+002°)
2.23872113856833e+002	(8.96717042141041e+000dB,1.06305874711571e+002°)
2.29086765276776e+002	(8.78260797190164e+000dB,1.05953756539862e+002°)
2.34422881531991e+002	(8.59740212119862e+000dB,1.05608452886706e+002°)
2.39883291901948e+002	(8.41157762489705e+000dB,1.05269881020100e+002°)
2.45470891568502e+002	(8.22515845559144e+000dB,1.04937956021608e+002°)
2.51188643150957e+002	(8.03816781350970e+000dB,1.04612591034073e+002°)
2.57039578276885e+002	(7.85062813831767e+000dB,1.04293697497217e+002°)
2.63026799189537e+002	(7.66256112195198e+000dB,1.03981185371260e+002°)
2.69153480392690e+002	(7.47398772234821e+000dB,1.03674963348761e+002°)
2.75422870333816e+002	(7.28492817794010e+000dB,1.03374939054889e+002°)
2.81838293126444e+002	(7.09540202281316e+000dB,1.03081019236410e+002°)
2.88403150312659e+002	(6.90542810240488e+000dB,1.02793109939663e+002°)
2.95120922666637e+002	(6.71502458965103e+000dB,1.02511116677853e+002°)
3.01995172040200e+002	(6.52420900148587e+000dB,1.02234944587986e+002°)
3.09029543251358e+002	(6.33299821561069e+000dB,1.01964498577805e+002°)
3.16227766016837e+002	(6.14140848745309e+000dB,1.01699683463072e+002°)
3.23593656929627e+002	(5.94945546724539e+000dB,1.01440404095585e+002°)
3.31131121482590e+002	(5.75715421715753e+000dB,1.01186565482285e+002°)
3.38844156139201e+002	(5.56451922842570e+000dB,1.00938072895842e+002°)
3.46736850452530e+002	(5.37156443842380e+000dB,1.00694831977081e+002°)
3.54813389233574e+002	(5.17830324763020e+000dB,1.00456748829640e+002°)
3.63078054770100e+002	(4.98474853644732e+000dB,1.00223730107203e+002°)
3.71535229097171e+002	(4.79091268183657e+000dB,9.99956830936994e+001°)
3.80189396320559e+002	(4.59680757373520e+000dB,9.97725157768036e+001°)
3.89045144994279e+002	(4.40244463122617e+000dB,9.95541369150940e+001°)
3.98107170553495e+002	(4.20783481843570e+000dB,9.93404560992070e+001°)
4.07380277804111e+002	(4.01298866013666e+000dB,9.91313838073161e+001°)
4.16869383470333e+002	(3.81791625703956e+000dB,9.89268314552545e+001°)
4.26579518801591e+002	(3.62262730075541e+000dB,9.87267114415892e+001°)
4.36515832240164e+002	(3.42713108841783e+000dB,9.85309371879443e+001°)
4.46683592150961e+002	(3.23143653695412e+000dB,9.83394231748580e+001°)
4.57088189614873e+002	(3.03555219699728e+000dB,9.81520849734488e+001°)
4.67735141287196e+002	(2.83948626643306e+000dB,9.79688392731521e+001°)
4.78630092322636e+002	(2.64324660357808e+000dB,9.77896039057796e+001°)
4.89778819368444e+002	(2.44684073998654e+000dB,9.76142978661404e+001°)
5.01187233627270e+002	(2.25027589288461e+000dB,9.74428413294536e+001°)
5.12861383991362e+002	(2.05355897723321e+000dB,9.72751556657677e+001°)
5.24807460249770e+002	(1.85669661742066e+000dB,9.71111634515967e+001°)
5.37031796370250e+002	(1.65969515858801e+000dB,9.69507884789667e+001°)
5.49540873857622e+002	(1.46256067759082e+000dB,9.67939557620596e+001°)
5.62341325190346e+002	(1.26529899360181e+000dB,9.66405915416312e+001°)
