Freq.	V(outint)
6.16595001861481e+001	(1.95917794303000e+001dB,-1.74247358672010e+001°)
6.30957344480192e+001	(1.95734649111361e+001dB,-1.78052440113789e+001°)
6.45654229034654e+001	(1.95543696762327e+001dB,-1.81929420665178e+001°)
6.60693448007595e+001	(1.95344640917587e+001dB,-1.85878935412725e+001°)
6.76082975391980e+001	(1.95137177129687e+001dB,-1.89901576683543e+001°)
6.91830970918935e+001	(1.94920992891137e+001dB,-1.93997890621272e+001°)
7.07945784384136e+001	(1.94695767711455e+001dB,-1.98168373661438e+001°)
7.24435960074988e+001	(1.94461173224203e+001dB,-2.02413468913692e+001°)
7.41310241300916e+001	(1.94216873326081e+001dB,-2.06733562459772e+001°)
7.58577575029182e+001	(1.93962524350143e+001dB,-2.11128979577447e+001°)
7.76247116628690e+001	(1.93697775275179e+001dB,-2.15599980902196e+001°)
7.94328234724279e+001	(1.93422267973251e+001dB,-2.20146758539950e+001°)
8.12830516164097e+001	(1.93135637497311e+001dB,-2.24769432145800e+001°)
8.31763771102669e+001	(1.92837512410738e+001dB,-2.29468044985257e+001°)
8.51138038202374e+001	(1.92527515160499e+001dB,-2.34242559996315e+001°)
8.70963589956078e+001	(1.92205262495501e+001dB,-2.39092855872219e+001°)
8.91250938133743e+001	(1.91870365931510e+001dB,-2.44018723186566e+001°)
9.12010839355907e+001	(1.91522432263807e+001dB,-2.49019860583944e+001°)
9.33254300796988e+001	(1.91161064128511e+001dB,-2.54095871060928e+001°)
9.54992586021433e+001	(1.90785860613190e+001dB,-2.59246258363723e+001°)
9.77237220955808e+001	(1.90396417917109e+001dB,-2.64470423530131e+001°)
9.99999999999997e+001	(1.89992330061078e+001dB,-2.69767661604730e+001°)
1.02329299228075e+002	(1.89573189646503e+001dB,-2.75137158557232e+001°)
1.04712854805090e+002	(1.89138588662815e+001dB,-2.80577988434812e+001°)
1.07151930523760e+002	(1.88688119342028e+001dB,-2.86089110779792e+001°)
1.09647819614318e+002	(1.88221375058681e+001dB,-2.91669368344415e+001°)
1.12201845430196e+002	(1.87737951272957e+001dB,-2.97317485134420e+001°)
1.14815362149688e+002	(1.87237446514226e+001dB,-3.03032064812840e+001°)
1.17489755493953e+002	(1.86719463401778e+001dB,-3.08811589494726e+001°)
1.20226443461741e+002	(1.86183609698940e+001dB,-3.14654418962429e+001°)
1.23026877081238e+002	(1.85629499396275e+001dB,-3.20558790329578e+001°)
1.25892541179416e+002	(1.85056753819013e+001dB,-3.26522818179972e+001°)
1.28824955169313e+002	(1.84465002753383e+001dB,-3.32544495205256e+001°)
1.31825673855640e+002	(1.83853885586006e+001dB,-3.38621693362459e+001°)
1.34896288259165e+002	(1.83223052450094e+001dB,-3.44752165569275e+001°)
1.38038426460288e+002	(1.82572165371766e+001dB,-3.50933547951319e+001°)
1.41253754462275e+002	(1.81900899409443e+001dB,-3.57163362651621e+001°)
1.44543977074592e+002	(1.81208943779024e+001dB,-3.63439021208207e+001°)
1.47910838816820e+002	(1.80496002957267e+001dB,-3.69757828500981e+001°)
1.51356124843620e+002	(1.79761797755700e+001dB,-3.76116987264166e+001°)
1.54881661891248e+002	(1.79006066357281e+001dB,-3.82513603155417e+001°)
1.58489319246111e+002	(1.78228565308095e+001dB,-3.88944690367476e+001°)
1.62181009735892e+002	(1.77429070456447e+001dB,-3.95407177762855e+001°)
1.65958690743755e+002	(1.76607377831944e+001dB,-4.01897915506783e+001°)
1.69824365246174e+002	(1.75763304457470e+001dB,-4.08413682168371e+001°)
