Freq.	V(outint)
2.34422881531992e+001	(1.99929177166131e+001dB,-2.27849409645004e+000°)
2.39883291901949e+001	(1.99925942468171e+001dB,-2.33150914640803e+000°)
2.45470891568503e+001	(1.99922555581799e+001dB,-2.38575494054902e+000°)
2.51188643150958e+001	(1.99919009359462e+001dB,-2.44125985154926e+000°)
2.57039578276886e+001	(1.99915296319147e+001dB,-2.49805289195279e+000°)
2.63026799189538e+001	(1.99911408628846e+001dB,-2.55616372758296e+000°)
2.69153480392691e+001	(1.99907338090317e+001dB,-2.61562269116092e+000°)
2.75422870333816e+001	(1.99903076122093e+001dB,-2.67646079612828e+000°)
2.81838293126445e+001	(1.99898613741732e+001dB,-2.73870975067108e+000°)
2.88403150312660e+001	(1.99893941547245e+001dB,-2.80240197194099e+000°)
2.95120922666638e+001	(1.99889049697687e+001dB,-2.86757060046950e+000°)
3.01995172040201e+001	(1.99883927892871e+001dB,-2.93424951476992e+000°)
3.09029543251359e+001	(1.99878565352158e+001dB,-3.00247334612120e+000°)
3.16227766016838e+001	(1.99872950792292e+001dB,-3.07227749352679e+000°)
3.23593656929628e+001	(1.99867072404238e+001dB,-3.14369813884088e+000°)
3.31131121482591e+001	(1.99860917828970e+001dB,-3.21677226205328e+000°)
3.38844156139202e+001	(1.99854474132188e+001dB,-3.29153765672329e+000°)
3.46736850452531e+001	(1.99847727777885e+001dB,-3.36803294555166e+000°)
3.54813389233575e+001	(1.99840664600751e+001dB,-3.44629759607845e+000°)
3.63078054770101e+001	(1.99833269777334e+001dB,-3.52637193649354e+000°)
3.71535229097172e+001	(1.99825527795931e+001dB,-3.60829717154489e+000°)
3.80189396320561e+001	(1.99817422425142e+001dB,-3.69211539852822e+000°)
3.89045144994280e+001	(1.99808936681034e+001dB,-3.77786962334015e+000°)
3.98107170553497e+001	(1.99800052792863e+001dB,-3.86560377657520e+000°)
4.07380277804112e+001	(1.99790752167298e+001dB,-3.95536272964497e+000°)
4.16869383470335e+001	(1.99781015351072e+001dB,-4.04719231089603e+000°)
4.26579518801592e+001	(1.99770821992019e+001dB,-4.14113932170087e+000°)
4.36515832240165e+001	(1.99760150798414e+001dB,-4.23725155249387e+000°)
4.46683592150962e+001	(1.99748979496562e+001dB,-4.33557779872208e+000°)
4.57088189614874e+001	(1.99737284786570e+001dB,-4.43616787667756e+000°)
4.67735141287197e+001	(1.99725042296219e+001dB,-4.53907263917588e+000°)
4.78630092322638e+001	(1.99712226532878e+001dB,-4.64434399104180e+000°)
4.89778819368445e+001	(1.99698810833389e+001dB,-4.75203490436040e+000°)
5.01187233627271e+001	(1.99684767311831e+001dB,-4.86219943344862e+000°)
5.12861383991364e+001	(1.99670066805111e+001dB,-4.97489272949823e+000°)
5.24807460249772e+001	(1.99654678816285e+001dB,-5.09017105483797e+000°)
5.37031796370252e+001	(1.99638571455543e+001dB,-5.20809179675816e+000°)
5.49540873857624e+001	(1.99621711378770e+001dB,-5.32871348083712e+000°)
5.62341325190348e+001	(1.99604063723610e+001dB,-5.45209578370418e+000°)
5.75439937337156e+001	(1.99585592042944e+001dB,-5.57829954516903e+000°)
5.88843655355588e+001	(1.99566258235708e+001dB,-5.70738677964254e+000°)
6.02559586074357e+001	(1.99546022474958e+001dB,-5.83942068676855e+000°)
6.16595001861481e+001	(1.99524843133112e+001dB,-5.97446566118043e+000°)
6.30957344480192e+001	(1.99502676704278e+001dB,-6.11258730129073e+000°)
6.45654229034654e+001	(1.99479477723589e+001dB,-6.25385241701520e+000°)
6.60693448007595e+001	(1.99455198683467e+001dB,-6.39832903632681e+000°)
6.76082975391980e+001	(1.99429789946737e+001dB,-6.54608641052767e+000°)
6.91830970918935e+001	(1.99403199656507e+001dB,-6.69719501812002e+000°)
7.07945784384136e+001	(1.99375373642752e+001dB,-6.85172656714944e+000°)
7.24435960074988e+001	(1.99346255325525e+001dB,-7.00975399588606e+000°)
7.41310241300916e+001	(1.99315785614725e+001dB,-7.17135147170048e+000°)
7.58577575029182e+001	(1.99283902806364e+001dB,-7.33659438798309e+000°)
