Freq.	V(outint)
2.95120922666638e+001	(1.91969595727644e+001dB,-2.42568317178063e+001°)
3.01995172040201e+001	(1.91625514068828e+001dB,-2.47547426262857e+001°)
3.09029543251359e+001	(1.91268114497313e+001dB,-2.52601533153424e+001°)
3.16227766016838e+001	(1.90896997071919e+001dB,-2.57730170940614e+001°)
3.23593656929628e+001	(1.90511758765019e+001dB,-2.62932771000358e+001°)
3.31131121482591e+001	(1.90111994157907e+001dB,-2.68208659655144e+001°)
3.38844156139202e+001	(1.89697296185536e+001dB,-2.73557055029805e+001°)
3.46736850452531e+001	(1.89267256929911e+001dB,-2.78977064132208e+001°)
3.54813389233575e+001	(1.88821468461029e+001dB,-2.84467680190082e+001°)
3.63078054770101e+001	(1.88359523723765e+001dB,-2.90027780275628e+001°)
3.71535229097172e+001	(1.87881017468621e+001dB,-2.95656123249696e+001°)
3.80189396320561e+001	(1.87385547223774e+001dB,-3.01351348057038e+001°)
3.89045144994280e+001	(1.86872714305299e+001dB,-3.07111972403619e+001°)
3.98107170553497e+001	(1.86342124861955e+001dB,-3.12936391845943e+001°)
4.07380277804112e+001	(1.85793390950355e+001dB,-3.18822879321048e+001°)
4.16869383470335e+001	(1.85226131635848e+001dB,-3.24769585143956e+001°)
4.26579518801592e+001	(1.84639974113905e+001dB,-3.30774537497211e+001°)
4.36515832240165e+001	(1.84034554846326e+001dB,-3.36835643434418e+001°)
4.46683592150962e+001	(1.83409520706120e+001dB,-3.42950690416665e+001°)
4.57088189614874e+001	(1.82764530124499e+001dB,-3.49117348397152e+001°)
4.67735141287197e+001	(1.82099254233046e+001dB,-3.55333172465493e+001°)
4.78630092322638e+001	(1.81413377993816e+001dB,-3.61595606058868e+001°)
4.89778819368445e+001	(1.80706601309883e+001dB,-3.67901984742618e+001°)
5.01187233627271e+001	(1.79978640108659e+001dB,-3.74249540558018e+001°)
5.12861383991364e+001	(1.79229227390257e+001dB,-3.80635406929859e+001°)
5.24807460249772e+001	(1.78458114233123e+001dB,-3.87056624121251e+001°)
5.37031796370252e+001	(1.77665070749280e+001dB,-3.93510145217714e+001°)
5.49540873857624e+001	(1.76849886981708e+001dB,-3.99992842617315e+001°)
5.62341325190348e+001	(1.76012373736649e+001dB,-4.06501514998330e+001°)
5.75439937337156e+001	(1.75152363344008e+001dB,-4.13032894730848e+001°)
5.88843655355588e+001	(1.74269710339504e+001dB,-4.19583655693850e+001°)
6.02559586074357e+001	(1.73364292062741e+001dB,-4.26150421454792e+001°)
6.16595001861481e+001	(1.72436009166074e+001dB,-4.32729773764588e+001°)
6.30957344480192e+001	(1.71484786029781e+001dB,-4.39318261317271e+001°)
6.45654229034654e+001	(1.70510571079912e+001dB,-4.45912408720477e+001°)
6.60693448007595e+001	(1.69513337005968e+001dB,-4.52508725620459e+001°)
6.76082975391980e+001	(1.68493080876467e+001dB,-4.59103715923456e+001°)
6.91830970918935e+001	(1.67449824151361e+001dB,-4.65693887054107e+001°)
7.07945784384136e+001	(1.66383612591193e+001dB,-4.72275759191165e+001°)
7.24435960074988e+001	(1.65294516063806e+001dB,-4.78845874421024e+001°)
7.41310241300916e+001	(1.64182628250339e+001dB,-4.85400805750552e+001°)
7.58577575029182e+001	(1.63048066253125e+001dB,-4.91937165922427e+001°)
7.76247116628690e+001	(1.61890970108969e+001dB,-4.98451615978469e+001°)
7.94328234724279e+001	(1.60711502212057e+001dB,-5.04940873519452e+001°)
8.12830516164097e+001	(1.59509846651499e+001dB,-5.11401720613365e+001°)
8.31763771102669e+001	(1.58286208469171e+001dB,-5.17831011308129e+001°)
8.51138038202374e+001	(1.57040812844075e+001dB,-5.24225678709183e+001°)
8.70963589956078e+001	(1.55773904209951e+001dB,-5.30582741587150e+001°)
8.91250938133743e+001	(1.54485745313261e+001dB,-5.36899310485848e+001°)
9.12010839355907e+001	(1.53176616218964e+001dB,-5.43172593306097e+001°)
9.33254300796988e+001	(1.51846813271724e+001dB,-5.49399900346145e+001°)
9.54992586021433e+001	(1.50496648020269e+001dB,-5.55578648784811e+001°)
9.77237220955808e+001	(1.49126446112689e+001dB,-5.61706366598762e+001°)
9.99999999999997e+001	(1.47736546170341e+001dB,-5.67780695910431e+001°)
1.02329299228075e+002	(1.46327298647904e+001dB,-5.73799395768038e+001°)
1.04712854805090e+002	(1.44899064686904e+001dB,-5.79760344363813e+001°)
1.07151930523760e+002	(1.43452214969711e+001dB,-5.85661540700878e+001°)
1.09647819614318e+002	(1.41987128580669e+001dB,-5.91501105723244e+001°)
