time	V(vo)
1.596019310051592e-003	-3.730344e-001
1.596146686592567e-003	-3.732100e-001
1.596274063133543e-003	-3.733850e-001
1.596401439674519e-003	-3.735593e-001
1.596528816215494e-003	-3.737330e-001
1.596656192756470e-003	-3.739060e-001
1.596783569297446e-003	-3.740783e-001
1.597682225838502e-003	-3.752811e-001
1.598821334161224e-003	-3.767741e-001
1.599916984652018e-003	-3.781783e-001
1.600628908810023e-003	-3.790718e-001
1.601275250372123e-003	-3.798685e-001
1.601908943306883e-003	-3.806380e-001
1.602502166706655e-003	-3.813481e-001
1.603092006405044e-003	-3.820438e-001
1.603777954858126e-003	-3.828402e-001
1.604442704213258e-003	-3.835987e-001
1.606384015586825e-003	-3.857262e-001
1.608311913462650e-003	-3.877339e-001
1.610470049297641e-003	-3.898551e-001
1.614253420104741e-003	-3.933197e-001
1.617809285403963e-003	-3.963017e-001
1.623431616619310e-003	-4.005260e-001
1.630082959457837e-003	-4.050296e-001
1.633076933498072e-003	-4.068561e-001
1.636197446439150e-003	-4.085850e-001
1.639163671431178e-003	-4.100978e-001
1.642346980485918e-003	-4.115824e-001
1.645587411234826e-003	-4.129359e-001
1.651536562434863e-003	-4.150998e-001
1.658256853968149e-003	-4.171344e-001
1.668022478968149e-003	-4.194688e-001
1.677788103968149e-003	-4.212549e-001
1.687553728968149e-003	-4.225790e-001
1.697319353968149e-003	-4.235582e-001
1.707084978968149e-003	-4.242802e-001
1.716850603968149e-003	-4.248106e-001
1.726616228968149e-003	-4.251983e-001
1.736381853968149e-003	-4.254798e-001
1.746147478968149e-003	-4.256822e-001
1.755913103968149e-003	-4.258258e-001
1.765678728968149e-003	-4.259256e-001
1.775444353968149e-003	-4.259930e-001
1.785209978968149e-003	-4.260361e-001
1.794975603968149e-003	-4.260609e-001
1.814506853968149e-003	-4.260713e-001
1.824272478968149e-003	-4.260594e-001
1.834038103968149e-003	-4.260319e-001
1.843803728968149e-003	-4.259778e-001
1.850860070848281e-003	-4.258997e-001
1.856673300636952e-003	-4.257692e-001
1.863089267778776e-003	-4.255145e-001
1.868442495290777e-003	-4.251816e-001
1.869300552533020e-003	-4.251261e-001
1.870158609775262e-003	-4.250658e-001
1.871016667017505e-003	-4.250008e-001
1.871874724259748e-003	-4.249310e-001
1.872732781501991e-003	-4.248565e-001
1.873590838744233e-003	-4.247772e-001
1.874448895986476e-003	-4.246933e-001
1.874557911585362e-003	-4.246822e-001
1.874775942783135e-003	-4.246600e-001
1.876084129969768e-003	-4.245227e-001
1.877828379551945e-003	-4.243347e-001
1.879843073638795e-003	-4.241149e-001
1.881830940276962e-003	-4.238971e-001
1.882779124307271e-003	-4.237927e-001
1.883885607352760e-003	-4.236692e-001
1.884904450306564e-003	-4.235532e-001
1.885883375215038e-003	-4.234397e-001
1.886526936995389e-003	-4.233635e-001
1.887261739191255e-003	-4.232748e-001
1.888163231172686e-003	-4.231635e-001
1.889163450321221e-003	-4.230368e-001
1.890383077783062e-003	-4.228770e-001
1.891913121247971e-003	-4.226689e-001
1.893376274742213e-003	-4.224612e-001
1.896919329095216e-003	-4.219142e-001
1.900756129419307e-003	-4.212388e-001
1.907624617365061e-003	-4.198335e-001
1.917390242365061e-003	-4.174308e-001
1.927155867365061e-003	-4.144911e-001
1.936921492365061e-003	-4.108727e-001
1.946687117365061e-003	-4.063934e-001
1.956452742365061e-003	-4.007123e-001
1.966218367365060e-003	-3.930373e-001
1.975983992365060e-003	-3.820988e-001
1.981893474559786e-003	-3.722720e-001
1.985162177766189e-003	-3.637092e-001
1.989123687379351e-003	-3.489600e-001
1.991015421323698e-003	-3.396951e-001
1.993643372434558e-003	-3.238865e-001
1.996039083437507e-003	-3.069427e-001
2.000281605873120e-003	-2.715747e-001
2.005826946602731e-003	-2.185196e-001
2.009819829008056e-003	-1.758365e-001
2.012865259905872e-003	-1.408249e-001
2.015861712893088e-003	-1.054307e-001
2.019027539363140e-003	-6.858017e-002
2.023513789339018e-003	-1.897603e-002
2.028461148961007e-003	3.095607e-002
2.035378442714316e-003	9.165346e-002
2.045144067714316e-003	1.631296e-001
2.054909692714315e-003	2.205299e-001
2.064675317714315e-003	2.654375e-001
2.074440942714315e-003	3.005009e-001
2.084206567714315e-003	3.279043e-001
2.093972192714315e-003	3.493850e-001
2.103737817714314e-003	3.662901e-001
2.113503442714314e-003	3.800469e-001
2.117300114395007e-003	3.846119e-001
2.119227692959200e-003	3.866844e-001
2.121021813522264e-003	3.885018e-001
2.122427047224568e-003	3.898593e-001
2.124134756729425e-003	3.914332e-001
2.125899917811687e-003	3.929788e-001
2.128251081967107e-003	3.949129e-001
2.131191443569901e-003	3.971565e-001
2.134664520452449e-003	3.995662e-001
2.139211401361660e-003	4.023528e-001
2.145737268661471e-003	4.057713e-001
2.153274910531839e-003	4.090264e-001
2.161689470900513e-003	4.119062e-001
2.171455095900513e-003	4.144863e-001
2.181220720900513e-003	4.164404e-001
2.190986345900513e-003	4.178994e-001
2.200751970900512e-003	4.189871e-001
2.210517595900512e-003	4.197962e-001
2.220283220900512e-003	4.203963e-001
2.230048845900512e-003	4.208390e-001
2.239814470900511e-003	4.211633e-001
2.249580095900511e-003	4.213978e-001
2.259345720900511e-003	4.215642e-001
2.269111345900511e-003	4.216783e-001
2.278876970900511e-003	4.217521e-001
2.288642595900510e-003	4.217942e-001
2.298408220900510e-003	4.218106e-001
2.317939470900510e-003	4.217811e-001
2.327705095900510e-003	4.217373e-001
2.337470720900509e-003	4.216709e-001
2.347236345900509e-003	4.215803e-001
2.352333777174448e-003	4.215176e-001
2.358778372859693e-003	4.214174e-001
2.363105773300140e-003	4.213344e-001
2.367459105565424e-003	4.212326e-001
2.370519014243982e-003	4.211475e-001
2.372700024353842e-003	4.210750e-001
2.374816232992584e-003	4.209891e-001
2.377554381108721e-003	4.208463e-001
2.381782649103875e-003	4.205565e-001
2.386266223311731e-003	4.201353e-001
2.393648429992731e-003	4.191706e-001
2.403109054363281e-003	4.174921e-001
2.412874679363281e-003	4.151986e-001
2.422640304363281e-003	4.122533e-001
2.432405929363281e-003	4.085416e-001
2.442171554363281e-003	4.038526e-001
2.451937179363280e-003	3.977479e-001
2.461702804363280e-003	3.890955e-001
2.471468429363280e-003	3.763233e-001
2.476199719914318e-003	3.668042e-001
2.479082704540350e-003	3.577407e-001
2.482815471289971e-003	3.416681e-001
2.484695919280591e-003	3.314621e-001
2.487130873420161e-003	3.155355e-001
2.490290234573935e-003	2.915102e-001
2.494685268346960e-003	2.519582e-001
2.502605640606957e-003	1.702929e-001
2.506243079834354e-003	1.292007e-001
2.509757129340118e-003	8.792965e-002
2.513377653369854e-003	4.668404e-002
2.518453093637690e-003	-7.216041e-003
2.523960311799225e-003	-5.931902e-002
2.532614968032869e-003	-1.289364e-001
2.542380593032868e-003	-1.932845e-001
2.552146218032868e-003	-2.441718e-001
2.561911843032868e-003	-2.839482e-001
2.571677468032868e-003	-3.150305e-001
2.581443093032868e-003	-3.393664e-001
2.591208718032867e-003	-3.584885e-001
2.600974343032867e-003	-3.743462e-001
2.601031563491851e-003	-3.744248e-001
2.601260445327789e-003	-3.747312e-001
2.601565621109039e-003	-3.751366e-001
2.602175972671539e-003	-3.759383e-001
2.603037381379900e-003	-3.770524e-001
2.603926178133991e-003	-3.781818e-001
2.604562696326043e-003	-3.789764e-001
2.605246938111534e-003	-3.798172e-001
2.606182314262065e-003	-3.809434e-001
2.607116814713126e-003	-3.820440e-001
2.607742942976569e-003	-3.827696e-001
2.608347177325482e-003	-3.834562e-001
2.610149119556055e-003	-3.854365e-001
2.611906960443239e-003	-3.872725e-001
2.613884798026780e-003	-3.892417e-001
2.616639506061650e-003	-3.918273e-001
2.619413078683540e-003	-3.942395e-001
2.624667673534470e-003	-3.983613e-001
2.632123250696615e-003	-4.036081e-001
2.636159487763932e-003	-4.061554e-001
2.638904209679570e-003	-4.077117e-001
2.642984149013388e-003	-4.098366e-001
2.645473769053205e-003	-4.110242e-001
2.648830821551861e-003	-4.124722e-001
2.652819843571537e-003	-4.139919e-001
2.660431150369615e-003	-4.164355e-001
2.669351081742496e-003	-4.187370e-001
2.679116706742496e-003	-4.206624e-001
2.688882331742496e-003	-4.221031e-001
2.698647956742496e-003	-4.231696e-001
2.708413581742496e-003	-4.239569e-001
2.718179206742495e-003	-4.245360e-001
2.727944831742495e-003	-4.249600e-001
2.737710456742495e-003	-4.252687e-001
2.747476081742495e-003	-4.254913e-001
2.757241706742495e-003	-4.256499e-001
2.767007331742494e-003	-4.257609e-001
2.776772956742494e-003	-4.258365e-001
2.786538581742494e-003	-4.258855e-001
2.796304206742494e-003	-4.259144e-001
2.806069831742494e-003	-4.259275e-001
2.815835456742493e-003	-4.259268e-001
2.825601081742493e-003	-4.259109e-001
2.835366706742493e-003	-4.258692e-001
2.845132331742493e-003	-4.257787e-001
2.851450468065523e-003	-4.256492e-001
2.858580713321509e-003	-4.253759e-001
2.864246387836992e-003	-4.250278e-001
2.870337203325643e-003	-4.245354e-001
2.870361769672333e-003	-4.245329e-001
2.870558300445856e-003	-4.245130e-001
2.871232120240789e-003	-4.244436e-001
2.872130546634034e-003	-4.243489e-001
2.873927399420524e-003	-4.241560e-001
2.875994209178370e-003	-4.239320e-001
2.877774330549760e-003	-4.237386e-001
2.878733293344017e-003	-4.236341e-001
2.879807093942845e-003	-4.235156e-001
2.880766076075187e-003	-4.234081e-001
2.881685554500086e-003	-4.233030e-001
2.882404255450553e-003	-4.232193e-001
2.883211988190688e-003	-4.231233e-001
2.884017839809487e-003	-4.230256e-001
2.886482047069168e-003	-4.227119e-001
2.887889630157516e-003	-4.225236e-001
2.889370830118130e-003	-4.223162e-001
2.891136866421296e-003	-4.220571e-001
2.896408025168542e-003	-4.211856e-001
2.901309725115892e-003	-4.202313e-001
2.911075350115892e-003	-4.179698e-001
2.920840975115891e-003	-4.152225e-001
2.930606600115891e-003	-4.118399e-001
2.940372225115891e-003	-4.076687e-001
2.950137850115891e-003	-4.024310e-001
2.959903475115891e-003	-3.955313e-001
2.969669100115890e-003	-3.854833e-001
2.978403792332841e-003	-3.719023e-001
2.982147206718390e-003	-3.624673e-001
2.985823002475428e-003	-3.488451e-001
2.987776412327652e-003	-3.392836e-001
2.990400264834236e-003	-3.235600e-001
2.992823373045447e-003	-3.064799e-001
2.996965580603129e-003	-2.721016e-001
3.002412303456165e-003	-2.202191e-001
3.006472868536390e-003	-1.769924e-001
3.009531135325817e-003	-1.419376e-001
3.012497070975553e-003	-1.069400e-001
3.015658344515645e-003	-7.011475e-002
3.020103047279019e-003	-2.082920e-002
3.024901490268537e-003	2.781728e-002
3.031872003654649e-003	8.934784e-002
3.041637628654649e-003	1.613348e-001
3.051403253654648e-003	2.191438e-001
3.061168878654648e-003	2.643815e-001
3.070934503654648e-003	2.997077e-001
3.080700128654648e-003	3.273197e-001
3.090465753654648e-003	3.489670e-001
3.100231378654647e-003	3.660063e-001
3.109997003654647e-003	3.798938e-001
3.113538317642304e-003	3.842038e-001
3.115315429932055e-003	3.861439e-001
3.117068641621338e-003	3.879526e-001
3.118511758795803e-003	3.893748e-001
3.120142720572218e-003	3.909099e-001
3.121858961057706e-003	3.924465e-001
3.124113724361771e-003	3.943506e-001
3.126708494351117e-003	3.963945e-001
3.129894814033745e-003	3.986809e-001
3.134977285155869e-003	4.019312e-001
3.140244831892726e-003	4.048382e-001
3.147456705785075e-003	4.081673e-001
3.154589718683441e-003	4.108371e-001
3.164355343683441e-003	4.136946e-001
3.174120968683441e-003	4.158856e-001
3.183886593683440e-003	4.175222e-001
3.193652218683440e-003	4.187432e-001
3.203417843683440e-003	4.196526e-001
