time	V(vo)
1.610255081687653e-003	-1.614012e+000
1.610703610651394e-003	-1.621577e+000
1.611217065624022e-003	-1.630223e+000
1.611668672273737e-003	-1.637815e+000
1.612664410146312e-003	-1.654502e+000
1.613678717986779e-003	-1.671432e+000
1.614396888749513e-003	-1.683354e+000
1.615242341593547e-003	-1.697263e+000
1.616051580756308e-003	-1.710416e+000
1.617028896951799e-003	-1.726020e+000
1.618983529342780e-003	-1.756428e+000
1.621850310252594e-003	-1.799538e+000
1.625271895477878e-003	-1.849174e+000
1.628389196707636e-003	-1.892838e+000
1.634623799167153e-003	-1.977462e+000
1.641669385267473e-003	-2.070639e+000
1.646522799599566e-003	-2.133143e+000
1.649773596825582e-003	-2.173296e+000
1.654634906975678e-003	-2.229985e+000
1.657745197110002e-003	-2.263566e+000
1.661563168671124e-003	-2.301055e+000
1.666144144997818e-003	-2.340838e+000
1.675306097651205e-003	-2.408244e+000
1.685071722651205e-003	-2.466729e+000
1.694837347651205e-003	-2.512417e+000
1.704602972651205e-003	-2.547858e+000
1.714368597651205e-003	-2.575312e+000
1.724134222651205e-003	-2.596557e+000
1.733899847651205e-003	-2.612982e+000
1.743665472651205e-003	-2.625669e+000
1.753431097651205e-003	-2.635456e+000
1.763196722651205e-003	-2.642988e+000
1.772962347651205e-003	-2.648762e+000
1.782727972651205e-003	-2.653140e+000
1.792493597651205e-003	-2.656373e+000
1.802259222651205e-003	-2.658578e+000
1.812024847651205e-003	-2.659665e+000
1.821790472651205e-003	-2.659009e+000
1.831556097651205e-003	-2.655247e+000
1.838288681774251e-003	-2.648171e+000
1.845769143951584e-003	-2.632644e+000
1.852035324795692e-003	-2.611587e+000
1.858816942211709e-003	-2.580745e+000
1.861832284950645e-003	-2.564566e+000
1.865191538214437e-003	-2.545211e+000
1.866591296342575e-003	-2.537092e+000
1.867727472643901e-003	-2.530495e+000
1.869161793621647e-003	-2.522102e+000
1.870280487969460e-003	-2.515456e+000
1.871335478405989e-003	-2.509078e+000
1.872135904639210e-003	-2.504154e+000
1.872996008536102e-003	-2.498767e+000
1.873856794882840e-003	-2.493277e+000
1.874821922211573e-003	-2.486970e+000
1.876462643695292e-003	-2.475944e+000
1.877939758036415e-003	-2.465685e+000
1.879515576584312e-003	-2.454321e+000
1.881279883480305e-003	-2.441094e+000
1.883145228189498e-003	-2.426384e+000
1.886875917607884e-003	-2.394552e+000
1.894337296444657e-003	-2.323657e+000
1.904102921444657e-003	-2.218812e+000
1.913868546444657e-003	-2.100727e+000
1.923634171444657e-003	-1.970112e+000
1.933399796444657e-003	-1.828569e+000
1.943165421444657e-003	-1.677534e+000
1.952931046444657e-003	-1.518283e+000
1.962696671444657e-003	-1.351962e+000
1.972462296444657e-003	-1.179618e+000
1.982227921444656e-003	-1.002221e+000
1.991993546444656e-003	-8.206857e-001
2.001759171444656e-003	-6.358835e-001
2.011524796444656e-003	-4.486544e-001
2.031056046444655e-003	-7.015471e-002
2.040821671444655e-003	1.195433e-001
2.060352921444655e-003	4.960217e-001
2.079884171444654e-003	8.636953e-001
2.099415421444654e-003	1.216896e+000
2.109181046444654e-003	1.386375e+000
2.118946671444653e-003	1.550092e+000
2.128712296444653e-003	1.708132e+000
2.131786699610405e-003	1.755603e+000
2.134932259745295e-003	1.801722e+000
2.136397189419798e-003	1.822222e+000
2.138384864955812e-003	1.848866e+000
2.139957569652555e-003	1.869157e+000
2.141935773792869e-003	1.893597e+000
2.146685566423774e-003	1.947909e+000
2.150447005400919e-003	1.986743e+000
2.154885704972238e-003	2.028229e+000
2.161739140581156e-003	2.084196e+000
2.170311025730703e-003	2.143219e+000
2.180076650730702e-003	2.197938e+000
2.189842275730702e-003	2.241514e+000
2.199607900730702e-003	2.275841e+000
2.209373525730702e-003	2.302838e+000
