Freq.	V(vo)
Step Information: X=25K  (Run: 1/6)
2.51785082358833e+001	(1.96121909498453e+001dB,7.55093670066006e+001°)
3.16978638492223e+001	(2.14669451818747e+001dB,7.20763973190646e+001°)
3.99052462993776e+001	(2.32490246753017e+001dB,6.78991051950278e+001°)
5.02377286301916e+001	(2.49261979877744e+001dB,6.29257531001092e+001°)
6.32455532033676e+001	(2.64600105857426e+001dB,5.71723454718886e+001°)
7.96214341106995e+001	(2.78108793591962e+001dB,5.07555049705718e+001°)
1.00237446725454e+002	(2.89471326170581e+001dB,4.39029526754223e+001°)
1.26191468896039e+002	(2.98548325264686e+001dB,3.69201789469171e+001°)
1.58865646944856e+002	(3.05427001901244e+001dB,3.01163565548843e+001°)
2.00000000000000e+002	(3.10386742255765e+001dB,2.37253305576550e+001°)
2.51785082358834e+002	(3.13804562924217e+001dB,1.78617226358210e+001°)
3.16978638492223e+002	(3.16056949595334e+001dB,1.25225401684113e+001°)
3.99052462993776e+002	(3.17456615783467e+001dB,7.61597670037885e+000°)
5.02377286301916e+002	(3.18227728889950e+001dB,2.99439090041773e+000°)
6.32455532033676e+002	(3.18504323358421e+001dB,-1.52092714434352e+000°)
7.96214341106995e+002	(3.18335870831367e+001dB,-6.12498059422643e+000°)
1.00237446725455e+003	(3.17690113778893e+001dB,-1.10207490259317e+001°)
1.26191468896039e+003	(3.16449292828414e+001dB,-1.64121732983538e+001°)
1.58865646944856e+003	(3.14400853958957e+001dB,-2.24930580691948e+001°)
2.00000000000000e+003	(3.11229138697876e+001dB,-2.94271952227722e+001°)
2.51785082358834e+003	(3.06521003377874e+001dB,-3.73181996671391e+001°)
3.16978638492223e+003	(2.99801735249719e+001dB,-4.61755908146681e+001°)
3.99052462993776e+003	(2.90607812105147e+001dB,-5.58949381308736e+001°)
5.02377286301917e+003	(2.78573987925968e+001dB,-6.62727413899390e+001°)
6.32455532033677e+003	(2.63484836177110e+001dB,-7.70566393462960e+001°)
7.96214341106995e+003	(2.45257215984580e+001dB,-8.79986049739461e+001°)
1.00237446725455e+004	(2.23881165318083e+001dB,-9.88718860285146e+001°)
1.26191468896039e+004	(1.99387338560044e+001dB,-1.09448116491149e+002°)
1.58865646944857e+004	(1.71879084406716e+001dB,-1.19472672625478e+002°)
2.00000000000000e+004	(1.41597067198964e+001dB,-1.28678748462376e+002°)
2.51785082358834e+004	(1.08948075201871e+001dB,-1.36841439124838e+002°)
