time	V(vi_op)
1.643443192023610e-003	4.420158e+000
1.651089473792224e-003	4.417333e+000
1.660855098792224e-003	4.413985e+000
1.670620723792224e-003	4.410941e+000
1.680386348792224e-003	4.408230e+000
1.699917598792224e-003	4.403841e+000
1.709683223792224e-003	4.402181e+000
1.719448848792224e-003	4.400886e+000
1.729214473792224e-003	4.399961e+000
1.738980098792224e-003	4.399409e+000
1.748745723792224e-003	4.399220e+000
1.757289782137518e-003	4.399369e+000
1.766408053637899e-003	4.399858e+000
1.775879753838667e-003	4.400694e+000
1.784006711668364e-003	4.401659e+000
1.788663889909199e-003	4.402326e+000
1.791545316654300e-003	4.402789e+000
1.794555827914401e-003	4.403309e+000
1.796301200306019e-003	4.403625e+000
1.797366502048364e-003	4.403825e+000
1.798877256365366e-003	4.404117e+000
1.800151686635512e-003	4.404369e+000
1.801401474322255e-003	4.404622e+000
1.802385085323663e-003	4.404826e+000
1.803254191326380e-003	4.405008e+000
1.804135110678761e-003	4.405197e+000
1.805188203199545e-003	4.405427e+000
1.807078860955862e-003	4.405849e+000
1.808572032436739e-003	4.406190e+000
1.810252607907519e-003	4.406585e+000
1.812076559397702e-003	4.407026e+000
1.818059510178213e-003	4.408578e+000
1.825945688580540e-003	4.410826e+000
1.835711313580540e-003	4.413875e+000
1.845476938580540e-003	4.417228e+000
1.855242563580540e-003	4.420890e+000
1.865008188580540e-003	4.424846e+000
1.874773813580540e-003	4.429082e+000
1.884539438580540e-003	4.433581e+000
1.894305063580540e-003	4.438328e+000
1.904070688580540e-003	4.443303e+000
1.913836313580540e-003	4.448488e+000
1.923601938580540e-003	4.453864e+000
1.933367563580540e-003	4.459411e+000
1.943133188580540e-003	4.465107e+000
1.952898813580540e-003	4.470931e+000
1.962664438580540e-003	4.476861e+000
1.972430063580540e-003	4.482875e+000
1.982195688580540e-003	4.488949e+000
1.990741734434573e-003	4.494298e+000
1.998232901943552e-003	4.499000e+000
2.006480207882170e-003	4.504176e+000
2.015713001685074e-003	4.509953e+000
2.025478626685074e-003	4.516022e+000
2.035244251685073e-003	4.522029e+000
2.045009876685073e-003	4.527949e+000
2.054775501685073e-003	4.533762e+000
2.064541126685073e-003	4.539444e+000
2.074306751685072e-003	4.545001e+000
2.078044052462142e-003	4.547087e+000
2.080112756991815e-003	4.548225e+000
2.082152354195981e-003	4.549338e+000
2.083613498970626e-003	4.550130e+000
2.085733658961391e-003	4.551271e+000
2.087821589948624e-003	4.552385e+000
2.090848049523642e-003	4.553982e+000
2.094859852517028e-003	4.556071e+000
2.098514693916035e-003	4.557942e+000
2.102924192867315e-003	4.560154e+000
2.108704868671561e-003	4.562976e+000
2.117061002720532e-003	4.566903e+000
2.126826627720532e-003	4.571269e+000
2.136592252720532e-003	4.575373e+000
2.146357877720532e-003	4.579190e+000
2.156123502720531e-003	4.582706e+000
2.175654752720531e-003	4.588783e+000
2.195186002720530e-003	4.593511e+000
2.214717252720530e-003	4.596820e+000
2.234248502720530e-003	4.598660e+000
2.244014127720529e-003	4.599020e+000
2.253779752720529e-003	4.599004e+000
2.263545377720529e-003	4.598612e+000
2.273311002720529e-003	4.597858e+000
2.281769680190011e-003	4.596912e+000
2.289386060704422e-003	4.595832e+000
2.294457027496655e-003	4.594986e+000
2.299438613326378e-003	4.594048e+000
2.304578929255680e-003	4.592989e+000
2.308122330631367e-003	4.592206e+000
2.310497086412538e-003	4.591653e+000
2.312676330478925e-003	4.591122e+000
2.316196051064213e-003	4.590227e+000
2.319877854406112e-003	4.589240e+000
2.325813112977980e-003	4.587542e+000
2.333090861696048e-003	4.585292e+000
2.342856486696048e-003	4.582004e+000
2.352622111696047e-003	4.578424e+000
2.362387736696047e-003	4.574547e+000
2.372153361696047e-003	4.570385e+000
2.381918986696047e-003	4.565956e+000
2.391684611696047e-003	4.561275e+000
2.401450236696046e-003	4.556361e+000
2.411215861696046e-003	4.551231e+000
2.420981486696046e-003	4.545905e+000
2.430747111696046e-003	4.540403e+000
2.440512736696046e-003	4.534747e+000
2.450278361696045e-003	4.528955e+000
2.460043986696045e-003	4.523053e+000
2.469809611696045e-003	4.517060e+000
2.479575236696045e-003	4.511000e+000
2.489340861696044e-003	4.504895e+000
2.498192706600915e-003	4.499342e+000
2.505220442479134e-003	4.494931e+000
2.512971934663653e-003	4.490077e+000
2.522737559663652e-003	4.483996e+000
2.532503184663652e-003	4.477970e+000
2.542268809663652e-003	4.472024e+000
2.552034434663652e-003	4.466180e+000
2.561800059663652e-003	4.460461e+000
2.571565684663651e-003	4.454861e+000
2.575409118267138e-003	4.452694e+000
2.575412675741484e-003	4.452692e+000
2.575585467352563e-003	4.452596e+000
2.575758258963641e-003	4.452500e+000
2.575931050574719e-003	4.452404e+000
2.576103842185798e-003	4.452308e+000
2.576276633796876e-003	4.452212e+000
2.576449425407955e-003	4.452116e+000
2.576622217019033e-003	4.452021e+000
2.577836501595710e-003	4.451349e+000
2.578719189599471e-003	4.450863e+000
2.579450723857298e-003	4.450461e+000
2.580028186443041e-003	4.450144e+000
2.581479969467281e-003	4.449352e+000
2.582426698558353e-003	4.448837e+000
2.583179970628770e-003	4.448429e+000
2.583988909746341e-003	4.447992e+000
2.584989359346375e-003	4.447453e+000
2.586033547957487e-003	4.446893e+000
2.588121925179711e-003	4.445781e+000
2.590408495810792e-003	4.444574e+000
2.594306519644090e-003	4.442545e+000
2.599457563072600e-003	4.439912e+000
2.604233778877567e-003	4.437531e+000
2.611843376006361e-003	4.433856e+000
2.619784243601678e-003	4.430167e+000
2.627633743875110e-003	4.426675e+000
2.633314167216115e-003	4.424262e+000
2.639933009211151e-003	4.421568e+000
2.644298524820368e-003	4.419868e+000
2.650229911143050e-003	4.417681e+000
2.659761863719645e-003	4.414395e+000
2.669527488719645e-003	4.411317e+000
2.679293113719645e-003	4.408567e+000
2.689058738719645e-003	4.406159e+000
2.698824363719645e-003	4.404101e+000
2.708589988719644e-003	4.402400e+000
2.718355613719644e-003	4.401064e+000
2.728121238719644e-003	4.400097e+000
2.737886863719644e-003	4.399503e+000
2.747652488719644e-003	4.399274e+000
2.756362935121973e-003	4.399391e+000
2.765474025551057e-003	4.399848e+000
2.775239650551056e-003	4.400689e+000
2.784347832710822e-003	4.401752e+000
2.787893383412640e-003	4.402259e+000
2.792348456796751e-003	4.402968e+000
2.792367596692100e-003	4.402971e+000
2.792433219190441e-003	4.402983e+000
2.792520715854896e-003	4.402997e+000
2.792695709183805e-003	4.403028e+000
2.793045695841623e-003	4.403089e+000
2.793745669157259e-003	4.403212e+000
2.794482110666527e-003	4.403343e+000
2.795356163175541e-003	4.403501e+000
2.796181344734281e-003	4.403653e+000
2.797223945427269e-003	4.403849e+000
2.799309146813245e-003	4.404253e+000
2.800347173764567e-003	4.404459e+000
2.801740725231432e-003	4.404744e+000
2.803089201011307e-003	4.405025e+000
2.804337227970730e-003	4.405292e+000
2.805709172314732e-003	4.405592e+000
2.807308640203517e-003	4.405951e+000
2.808820238913039e-003	4.406299e+000
2.813514202205093e-003	4.407441e+000
2.818843916411388e-003	4.408857e+000
2.828609541411388e-003	4.411688e+000
2.838375166411388e-003	4.414809e+000
2.848140791411388e-003	4.418248e+000
2.857906416411388e-003	4.421991e+000
2.867672041411387e-003	4.426025e+000
2.877437666411387e-003	4.430335e+000
2.887203291411387e-003	4.434903e+000
2.896968916411387e-003	4.439713e+000
2.906734541411386e-003	4.444748e+000
2.916500166411386e-003	4.449987e+000
2.926265791411386e-003	4.455412e+000
2.936031416411386e-003	4.461001e+000
2.945797041411386e-003	4.466734e+000
2.955562666411385e-003	4.472589e+000
2.965328291411385e-003	4.478545e+000
2.975093916411385e-003	4.484576e+000
2.983316375476608e-003	4.489698e+000
2.991918456533591e-003	4.495086e+000
2.998816160247738e-003	4.499416e+000
3.006445299144837e-003	4.504204e+000
3.016210924144836e-003	4.510313e+000
3.025976549144836e-003	4.516380e+000
3.035742174144836e-003	4.522383e+000
3.045507799144836e-003	4.528299e+000
3.055273424144835e-003	4.534105e+000
3.065039049144835e-003	4.539780e+000
3.074804674144835e-003	4.545331e+000
3.078148416593058e-003	4.547194e+000
3.080861775432678e-003	4.548685e+000
3.082486402284554e-003	4.549570e+000
3.084506019654013e-003	4.550662e+000
3.086487787067000e-003	4.551725e+000
3.088944032182186e-003	4.553030e+000
3.091710602197422e-003	4.554486e+000
3.095128158742120e-003	4.556259e+000
3.099376405049071e-003	4.558426e+000
3.104403047040275e-003	4.560928e+000
3.112548940163615e-003	4.564848e+000
3.121634790996004e-003	4.569030e+000
3.131400415996004e-003	4.573276e+000
3.141166040996004e-003	4.577248e+000
3.150931665996004e-003	4.580925e+000
3.160697290996003e-003	4.584295e+000
3.180228540996003e-003	4.590063e+000
3.199759790996003e-003	4.594465e+000
3.219291040996002e-003	4.597434e+000
3.238822290996002e-003	4.598925e+000
3.248587915996002e-003	4.599109e+000
3.258353540996001e-003	4.598917e+000
3.268119165996001e-003	4.598349e+000
3.277884790996001e-003	4.597409e+000
3.287650415996001e-003	4.596136e+000
3.293383673474777e-003	4.595215e+000
3.299679987247090e-003	4.594050e+000
3.303614034662479e-003	4.593246e+000
3.308062354720751e-003	4.592267e+000
3.310676675977708e-003	4.591658e+000
3.313219644050926e-003	4.591037e+000
3.316017201258743e-003	4.590324e+000
3.319739106812171e-003	4.589333e+000
3.323738404559335e-003	4.588205e+000
3.330971632863575e-003	4.586011e+000
3.340387780632806e-003	4.582912e+000
3.350153405632805e-003	4.579407e+000
3.359919030632805e-003	4.575603e+000
3.369684655632805e-003	4.571512e+000
3.379450280632805e-003	4.567149e+000
3.389215905632805e-003	4.562531e+000
3.398981530632804e-003	4.557673e+000
3.408747155632804e-003	4.552596e+000
3.418512780632804e-003	4.547318e+000
3.428278405632804e-003	4.541859e+000
3.438044030632804e-003	4.536239e+000
3.447809655632803e-003	4.530480e+000
3.457575280632803e-003	4.524603e+000
3.467340905632803e-003	4.518631e+000
3.477106530632803e-003	4.512586e+000
3.486872155632803e-003	4.506491e+000
3.495237730911689e-003	4.501246e+000
3.503772795852752e-003	4.495889e+000
3.511708431104619e-003	4.490917e+000
3.521474056104619e-003	4.484829e+000
