time	V(vin)
3.379483882440768e-003	6.869075e-002
3.383099970650579e-003	6.702195e-002
3.386953371170324e-003	6.520559e-002
3.393544914040637e-003	6.201054e-002
3.401047607490530e-003	5.824474e-002
3.410813232490529e-003	5.315056e-002
3.420578857490529e-003	4.785633e-002
3.430344482490529e-003	4.238198e-002
3.440110107490529e-003	3.674812e-002
3.449875732490529e-003	3.097595e-002
3.459641357490528e-003	2.508719e-002
3.469406982490528e-003	1.910400e-002
3.476769297420041e-003	1.454451e-002
3.480394314842523e-003	1.228748e-002
3.484224290803844e-003	9.895947e-003
3.486160022920301e-003	8.684958e-003
3.488803012425970e-003	7.029473e-003
3.491209464791128e-003	5.520449e-003
3.495654532812315e-003	2.729998e-003
3.500416729327944e-003	-2.618385e-004
3.504548523123997e-003	-2.857532e-003
3.507603270264175e-003	-4.775458e-003
3.510503921886394e-003	-6.595019e-003
3.513664533723908e-003	-8.575136e-003
3.518090431136852e-003	-1.134209e-002
3.522905501284308e-003	-1.434232e-002
3.529592283892364e-003	-1.848643e-002
3.539302771935345e-003	-2.444443e-002
3.549068396935345e-003	-3.034448e-002
3.558834021935345e-003	-3.613031e-002
3.568599646935345e-003	-4.178016e-002
3.578365271935345e-003	-4.727276e-002
3.588130896935344e-003	-5.258743e-002
3.597896521935344e-003	-5.770418e-002
3.602275899527303e-003	-5.992936e-002
3.604547422243073e-003	-6.106577e-002
3.606058652236999e-003	-6.181493e-002
3.607726310215124e-003	-6.263518e-002
3.609896489258548e-003	-6.369227e-002
3.610710736347739e-003	-6.408585e-002
3.611657426172129e-003	-6.454133e-002
3.612583920472944e-003	-6.498489e-002
3.613651543129115e-003	-6.549328e-002
3.615786788441458e-003	-6.650120e-002
3.618248914377933e-003	-6.764854e-002
3.621723543566691e-003	-6.924011e-002
3.625832564870476e-003	-7.107960e-002
3.631543997162378e-003	-7.355752e-002
3.638437755388324e-003	-7.642193e-002
3.641635661753119e-003	-7.770234e-002
3.644907923478746e-003	-7.898003e-002
3.648497159089513e-003	-8.034308e-002
3.651732992399278e-003	-8.153691e-002
3.655269066181011e-003	-8.280297e-002
3.661723490172479e-003	-8.500808e-002
3.669333152649076e-003	-8.742805e-002
3.679098777649075e-003	-9.024016e-002
3.688864402649075e-003	-9.271262e-002
3.698630027649075e-003	-9.483614e-002
3.708395652649075e-003	-9.660271e-002
