time	V(vin)
5.566231305973057e-004	-3.483156e-002
5.574984454801855e-004	-3.534657e-002
5.584215879998020e-004	-3.588856e-002
5.602678730390349e-004	-3.696889e-002
5.633423616245628e-004	-3.875679e-002
5.666486134474926e-004	-4.066330e-002
5.704881141554526e-004	-4.285523e-002
5.761823274635244e-004	-4.605970e-002
5.820862945219061e-004	-4.931991e-002
5.900066014790934e-004	-5.358618e-002
5.941970081952315e-004	-5.579033e-002
5.984183217261242e-004	-5.797164e-002
6.024191835172640e-004	-6.000141e-002
6.066646169594058e-004	-6.211377e-002
6.110857328698576e-004	-6.426655e-002
6.189629620566119e-004	-6.797827e-002
6.287285870566119e-004	-7.234769e-002
6.384942120566119e-004	-7.644481e-002
6.482598370566120e-004	-8.025420e-002
6.580254620566120e-004	-8.376154e-002
6.775567120566120e-004	-8.981843e-002
6.970879620566120e-004	-9.452436e-002
7.166192120566120e-004	-9.780855e-002
7.361504620566120e-004	-9.962162e-002
7.459160870566120e-004	-9.996708e-002
7.556817120566120e-004	-9.993628e-002
7.654473370566121e-004	-9.952936e-002
7.752129620566121e-004	-9.874781e-002
7.819474408631575e-004	-9.799209e-002
7.899613562652261e-004	-9.686435e-002
7.974706432497587e-004	-9.558472e-002
8.040747679928612e-004	-9.428341e-002
8.072105352893590e-004	-9.360854e-002
8.096345525574856e-004	-9.306193e-002
8.120394204648905e-004	-9.249831e-002
8.135382750516305e-004	-9.213634e-002
8.146642886390665e-004	-9.185903e-002
8.158353310138548e-004	-9.156576e-002
8.168472976533742e-004	-9.130833e-002
8.178099569759906e-004	-9.106001e-002
8.186243045273687e-004	-9.084735e-002
8.193417075076575e-004	-9.065804e-002
8.200901464793340e-004	-9.045857e-002
8.211184467991237e-004	-9.018126e-002
8.223225988234072e-004	-8.985174e-002
8.235388665765673e-004	-8.951368e-002
8.250554517328611e-004	-8.908483e-002
8.263223614611178e-004	-8.872037e-002
8.302984126304596e-004	-8.754019e-002
8.346505350340434e-004	-8.618577e-002
8.433547798412110e-004	-8.328467e-002
8.531204048412110e-004	-7.973381e-002
8.628860298412110e-004	-7.588285e-002
8.726516548412110e-004	-7.174628e-002
8.824172798412110e-004	-6.733968e-002
8.921829048412110e-004	-6.267963e-002
9.019485298412110e-004	-5.778367e-002
9.117141548412110e-004	-5.267022e-002
9.214797798412110e-004	-4.735853e-002
9.312454048412110e-004	-4.186860e-002
9.410110298412111e-004	-3.622108e-002
9.507766548412111e-004	-3.043723e-002
9.605422798412111e-004	-2.453882e-002
9.703079048412111e-004	-1.854806e-002
9.800735298412110e-004	-1.248749e-002
9.898391548412110e-004	-6.379911e-003
9.982870916897071e-004	-1.076231e-003
1.005754437893775e-003	3.614832e-003
