time	V(vo)
2.234641370364558e-003	3.504238e-001
2.244406995364558e-003	3.521497e-001
2.254172620364558e-003	3.534765e-001
2.263938245364557e-003	3.544139e-001
2.273703870364557e-003	3.549692e-001
2.283469495364557e-003	3.551474e-001
2.303000745364557e-003	3.543843e-001
2.322531995364556e-003	3.521338e-001
2.342063245364556e-003	3.483830e-001
2.361594495364555e-003	3.430909e-001
2.371360120364555e-003	3.398425e-001
2.381125745364555e-003	3.361712e-001
2.390891370364555e-003	3.320524e-001
2.400656995364554e-003	3.274511e-001
2.410422620364554e-003	3.223161e-001
2.420188245364554e-003	3.165704e-001
2.429953870364554e-003	3.100923e-001
2.439719495364554e-003	3.026769e-001
2.449485120364553e-003	2.939272e-001
2.459250745364553e-003	2.829141e-001
2.469016370364553e-003	2.680800e-001
2.475848563419921e-003	2.531224e-001
2.481400959155537e-003	2.348023e-001
2.487928779713326e-003	2.044991e-001
2.492374407415965e-003	1.772697e-001
2.497572589780341e-003	1.387132e-001
2.501250382367136e-003	1.088777e-001
2.505379122144133e-003	7.502685e-002
2.509494349541615e-003	4.293304e-002
2.513233932230897e-003	1.601311e-002
2.518767544838757e-003	-1.958844e-002
2.528533169838756e-003	-7.406890e-002
2.538298794838756e-003	-1.197985e-001
2.548064419838756e-003	-1.572557e-001
2.557830044838756e-003	-1.880479e-001
2.567595669838755e-003	-2.135026e-001
2.577361294838755e-003	-2.346878e-001
2.587126919838755e-003	-2.524523e-001
2.596892544838755e-003	-2.674676e-001
2.606658169838755e-003	-2.802628e-001
2.616423794838754e-003	-2.912535e-001
2.626189419838754e-003	-3.007655e-001
2.635955044838754e-003	-3.090534e-001
2.645720669838754e-003	-3.163161e-001
2.655486294838754e-003	-3.227083e-001
2.665251919838753e-003	-3.283503e-001
2.675017544838753e-003	-3.333354e-001
2.684783169838753e-003	-3.377357e-001
2.694548794838753e-003	-3.416069e-001
2.704314419838753e-003	-3.449918e-001
2.714080044838752e-003	-3.479232e-001
