time	V(n005)
1.187654713135320e-003	5.379665e-001
1.207185963135320e-003	5.379497e-001
1.226717213135320e-003	5.378817e-001
1.236482838135320e-003	5.378227e-001
1.246248463135320e-003	5.377396e-001
1.256014088135320e-003	5.376227e-001
1.265779713135320e-003	5.374566e-001
1.275545338135320e-003	5.372190e-001
1.285310963135320e-003	5.368661e-001
1.293835196705025e-003	5.363954e-001
1.300080659784420e-003	5.358569e-001
1.303800602342870e-003	5.353219e-001
1.307327937682958e-003	5.345606e-001
1.310790818495117e-003	5.335978e-001
1.315652987320430e-003	5.319871e-001
1.321793256612675e-003	5.296164e-001
1.330919700144843e-003	5.255299e-001
1.340685325144843e-003	5.204531e-001
1.350450950144843e-003	5.144967e-001
1.360216575144843e-003	5.074293e-001
1.369982200144843e-003	4.988895e-001
1.379747825144843e-003	4.882864e-001
1.389513450144843e-003	4.745956e-001
1.399279075144843e-003	4.559010e-001
1.409044700144843e-003	4.282003e-001
1.418810325144843e-003	3.846721e-001
1.428575950144843e-003	3.183963e-001
1.438341575144843e-003	2.272904e-001
1.448107200144843e-003	1.150650e-001
1.457872825144843e-003	-1.267396e-002
1.467638450144843e-003	-1.507103e-001
1.477404075144843e-003	-2.889490e-001
1.485842211826330e-003	-3.874241e-001
1.494658341033255e-003	-4.518908e-001
1.501636469128721e-003	-4.778807e-001
1.509308842678893e-003	-4.923788e-001
1.519074467678893e-003	-5.039074e-001
1.528840092678893e-003	-5.121369e-001
1.538605717678893e-003	-5.184714e-001
1.548371342678893e-003	-5.236772e-001
1.558136967678893e-003	-5.281044e-001
1.567902592678893e-003	-5.319781e-001
1.572301258165235e-003	-5.335704e-001
1.572327951621213e-003	-5.335782e-001
1.572577090543677e-003	-5.336605e-001
1.572861820740779e-003	-5.337555e-001
1.573431281134983e-003	-5.339441e-001
1.574570201923391e-003	-5.343173e-001
1.575431049968044e-003	-5.345955e-001
1.576180255610816e-003	-5.348345e-001
1.577209218921728e-003	-5.351582e-001
1.578313495464588e-003	-5.354988e-001
1.579151938042108e-003	-5.357317e-001
1.579899424758866e-003	-5.358889e-001
