time	V(p001)
9.410110298412111e-004	-1.253116e-001
9.507766548412111e-004	1.762483e-001
9.605422798412111e-004	4.755868e-001
9.703079048412111e-004	7.716063e-001
9.800735298412110e-004	1.063185e+000
9.898391548412110e-004	1.349244e+000
9.982870916897071e-004	1.591315e+000
1.005754437893775e-003	1.800465e+000
1.013658433873735e-003	2.016490e+000
1.023424058873735e-003	2.275780e+000
1.033189683873735e-003	2.525977e+000
1.042955308873735e-003	2.765696e+000
1.052720933873735e-003	2.994033e+000
1.062486558873735e-003	3.210076e+000
1.072252183873735e-003	3.412962e+000
1.082017808873735e-003	3.601985e+000
1.085733451696233e-003	3.663309e+000
1.087722117106163e-003	3.686125e+000
1.089671577821001e-003	3.700239e+000
1.091673793758804e-003	3.710406e+000
1.093620823147880e-003	3.717957e+000
1.095878448640997e-003	3.725303e+000
1.098105414547983e-003	3.731440e+000
1.100514363591402e-003	3.737192e+000
1.103198353746253e-003	3.742877e+000
1.108566334055955e-003	3.752700e+000
1.113698315575905e-003	3.760396e+000
1.121487596571113e-003	3.769612e+000
1.129060963135320e-003	3.776501e+000
1.138826588135320e-003	3.783028e+000
1.148592213135320e-003	3.787761e+000
1.158357838135320e-003	3.791058e+000
1.168123463135320e-003	3.793268e+000
1.187654713135320e-003	3.795106e+000
1.207185963135320e-003	3.793907e+000
1.226717213135320e-003	3.789387e+000
1.236482838135320e-003	3.785485e+000
1.246248463135320e-003	3.780018e+000
1.256014088135320e-003	3.772343e+000
1.265779713135320e-003	3.761470e+000
1.275545338135320e-003	3.745977e+000
1.285310963135320e-003	3.723056e+000
1.293835196705025e-003	3.692648e+000
1.300080659784420e-003	3.657986e+000
1.303800602342870e-003	3.623695e+000
1.307327937682958e-003	3.575535e+000
1.310790818495117e-003	3.516197e+000
1.315652987320430e-003	3.420509e+000
1.321793256612675e-003	3.287106e+000
1.330919700144843e-003	3.073393e+000
1.340685325144843e-003	2.831638e+000
1.350450950144843e-003	2.578834e+000
1.360216575144843e-003	2.316718e+000
1.369982200144843e-003	2.046538e+000
1.379747825144843e-003	1.769408e+000
1.389513450144843e-003	1.486381e+000
