Freq.	V(outder)
1.23026877081238e+002	(-1.45243037334109e+001dB,8.98678838299496e+001°)
1.25892541179416e+002	(-1.43243040720513e+001dB,8.98648064486935e+001°)
1.28824955169313e+002	(-1.41243044266514e+001dB,8.98616573859962e+001°)
1.31825673855640e+002	(-1.39243047979634e+001dB,8.98584349721808e+001°)
1.34896288259165e+002	(-1.37243051867747e+001dB,8.98551374986784e+001°)
1.38038426460288e+002	(-1.35243055939103e+001dB,8.98517632171224e+001°)
1.41253754462275e+002	(-1.33243060202336e+001dB,8.98483103384214e+001°)
1.44543977074592e+002	(-1.31243064666490e+001dB,8.98447770318103e+001°)
1.47910838816820e+002	(-1.29243069341033e+001dB,8.98411614238803e+001°)
1.51356124843620e+002	(-1.27243074235882e+001dB,8.98374615975848e+001°)
1.54881661891248e+002	(-1.25243079361419e+001dB,8.98336755912233e+001°)
1.58489319246111e+002	(-1.23243084728516e+001dB,8.98298013974013e+001°)
1.62181009735892e+002	(-1.21243090348557e+001dB,8.98258369619659e+001°)
1.65958690743755e+002	(-1.19243096233463e+001dB,8.98217801829165e+001°)
1.69824365246174e+002	(-1.17243102395718e+001dB,8.98176289092904e+001°)
1.73780082874937e+002	(-1.15243108848392e+001dB,8.98133809400224e+001°)
1.77827941003892e+002	(-1.13243115605173e+001dB,8.98090340227776e+001°)
1.81970085860998e+002	(-1.11243122680393e+001dB,8.98045858527571e+001°)
1.86208713666286e+002	(-1.09243130089059e+001dB,8.98000340714760e+001°)
1.90546071796324e+002	(-1.07243137846887e+001dB,8.97953762655130e+001°)
1.94984459975804e+002	(-1.05243145970332e+001dB,8.97906099652306e+001°)
1.99526231496887e+002	(-1.03243154476626e+001dB,8.97857326434657e+001°)
2.04173794466952e+002	(-1.01243163383811e+001dB,8.97807417141894e+001°)
2.08929613085403e+002	(-9.92431727107819e+000dB,8.97756345311364e+001°)
2.13796208950222e+002	(-9.72431824773223e+000dB,8.97704083864010e+001°)
2.18776162394954e+002	(-9.52431927041486e+000dB,8.97650605090022e+001°)
2.23872113856833e+002	(-9.32432034129542e+000dB,8.97595880634137e+001°)
2.29086765276776e+002	(-9.12432146264541e+000dB,8.97539881480609e+001°)
2.34422881531991e+002	(-8.92432263684342e+000dB,8.97482577937822e+001°)
2.39883291901948e+002	(-8.72432386638016e+000dB,8.97423939622545e+001°)
2.45470891568502e+002	(-8.52432515386371e+000dB,8.97363935443826e+001°)
2.51188643150957e+002	(-8.32432650202505e+000dB,8.97302533586503e+001°)
2.57039578276885e+002	(-8.12432791372389e+000dB,8.97239701494334e+001°)
2.63026799189537e+002	(-7.92432939195475e+000dB,8.97175405852737e+001°)
2.69153480392690e+002	(-7.72433093985322e+000dB,8.97109612571125e+001°)
2.75422870333816e+002	(-7.52433256070272e+000dB,8.97042286764828e+001°)
2.81838293126444e+002	(-7.32433425794142e+000dB,8.96973392736597e+001°)
2.88403150312659e+002	(-7.12433603516948e+000dB,8.96902893957676e+001°)
2.95120922666637e+002	(-6.92433789615682e+000dB,8.96830753048431e+001°)
3.01995172040200e+002	(-6.72433984485098e+000dB,8.96756931758532e+001°)
3.09029543251358e+002	(-6.52434188538557e+000dB,8.96681390946671e+001°)
3.16227766016837e+002	(-6.32434402208901e+000dB,8.96604090559806e+001°)
3.23593656929627e+002	(-6.12434625949376e+000dB,8.96524989611921e+001°)
3.31131121482590e+002	(-5.92434860234586e+000dB,8.96444046162298e+001°)
3.38844156139201e+002	(-5.72435105561507e+000dB,8.96361217293275e+001°)
3.46736850452530e+002	(-5.52435362450536e+000dB,8.96276459087488e+001°)
3.54813389233574e+002	(-5.32435631446598e+000dB,8.96189726604584e+001°)
3.63078054770100e+002	(-5.12435913120301e+000dB,8.96100973857394e+001°)
3.71535229097171e+002	(-4.92436208069151e+000dB,8.96010153787542e+001°)
3.80189396320559e+002	(-4.72436516918810e+000dB,8.95917218240496e+001°)
3.89045144994279e+002	(-4.52436840324432e+000dB,8.95822117940034e+001°)
3.98107170553495e+002	(-4.32437178972051e+000dB,8.95724802462110e+001°)
4.07380277804111e+002	(-4.12437533580034e+000dB,8.95625220208120e+001°)
4.16869383470333e+002	(-3.92437904900608e+000dB,8.95523318377538e+001°)
4.26579518801591e+002	(-3.72438293721454e+000dB,8.95419042939918e+001°)
4.36515832240164e+002	(-3.52438700867382e+000dB,8.95312338606244e+001°)
4.46683592150961e+002	(-3.32439127202075e+000dB,8.95203148799607e+001°)
4.57088189614873e+002	(-3.12439573629927e+000dB,8.95091415625210e+001°)
4.67735141287196e+002	(-2.92440041097960e+000dB,8.94977079839661e+001°)
4.78630092322636e+002	(-2.72440530597832e+000dB,8.94860080819558e+001°)
4.89778819368444e+002	(-2.52441043167945e+000dB,8.94740356529343e+001°)
5.01187233627270e+002	(-2.32441579895645e+000dB,8.94617843488402e+001°)
5.12861383991362e+002	(-2.12442141919531e+000dB,8.94492476737404e+001°)
5.24807460249770e+002	(-1.92442730431872e+000dB,8.94364189803847e+001°)
5.37031796370250e+002	(-1.72443346681131e+000dB,8.94232914666814e+001°)
5.49540873857622e+002	(-1.52443991974629e+000dB,8.94098581720893e+001°)
5.62341325190346e+002	(-1.32444667681301e+000dB,8.93961119739270e+001°)
5.75439937337154e+002	(-1.12445375234614e+000dB,8.93820455835952e+001°)
5.88843655355586e+002	(-9.24461161356054e-001dB,8.93676515427114e+001°)
6.02559586074355e+002	(-7.24468919560692e-001dB,8.93529222191544e+001°)
6.16595001861479e+002	(-5.24477043418913e-001dB,8.93378498030165e+001°)
6.30957344480190e+002	(-3.24485550165415e-001dB,8.93224263024621e+001°)
6.45654229034652e+002	(-1.24494457847380e-001dB,8.93066435394884e+001°)
6.60693448007592e+002	(7.54962146373200e-002dB,8.92904931455885e+001°)
6.76082975391978e+002	(2.75486447499901e-001dB,8.92739665573131e+001°)
6.91830970918933e+002	(4.75476220018749e-001dB,8.92570550117282e+001°)
7.07945784384134e+002	(6.75465510495348e-001dB,8.92397495417680e+001°)
7.24435960074986e+002	(8.75454296208307e-001dB,8.92220409714781e+001°)
7.41310241300914e+002	(1.07544255336504e+000dB,8.92039199111490e+001°)
7.58577575029180e+002	(1.27543025705131e+000dB,8.91853767523358e+001°)
7.76247116628688e+002	(1.47541738117826e+000dB,8.91664016627611e+001°)
7.94328234724277e+002	(1.67540389842715e+000dB,8.91469845811004e+001°)
8.12830516164095e+002	(1.87538978019115e+000dB,8.91271152116447e+001°)
8.31763771102666e+002	(2.07537499651480e+000dB,8.91067830188390e+001°)
8.51138038202372e+002	(2.27535951603026e+000dB,8.90859772216943e+001°)
