second,Volt
+364.00E-06,+4.37070322E+00
+365.00E-06,+4.37460947E+00
+366.00E-06,+4.37265635E+00
+367.00E-06,+4.75937510E+00
+368.00E-06,+4.79648447E+00
+369.00E-06,+4.71445322E+00
+370.00E-06,+4.65976572E+00
+371.00E-06,+4.60507822E+00
+372.00E-06,+4.57382822E+00
+373.00E-06,+4.54257822E+00
+374.00E-06,+4.51718760E+00
+375.00E-06,+4.49765635E+00
+376.00E-06,+4.48203135E+00
+377.00E-06,+4.47031260E+00
+378.00E-06,+4.46250010E+00
+379.00E-06,+4.46250010E+00
+380.00E-06,+4.45078135E+00
+381.00E-06,+4.44687510E+00
+382.00E-06,+4.45664072E+00
+383.00E-06,+4.45078135E+00
+384.00E-06,+4.45468760E+00
+385.00E-06,+4.45664072E+00
+386.00E-06,+4.46054697E+00
+387.00E-06,+4.46445322E+00
+388.00E-06,+4.47031260E+00
+389.00E-06,+4.47421885E+00
+390.00E-06,+4.47812510E+00
+391.00E-06,+4.48203135E+00
+392.00E-06,+4.48789072E+00
+393.00E-06,+4.49179697E+00
+394.00E-06,+4.49765635E+00
+395.00E-06,+4.50351572E+00
+396.00E-06,+4.50937510E+00
+397.00E-06,+4.51523447E+00
+398.00E-06,+4.52109385E+00
+399.00E-06,+4.52500010E+00
+400.00E-06,+4.53085947E+00
+401.00E-06,+4.53671885E+00
+402.00E-06,+4.54062510E+00
+403.00E-06,+4.54648447E+00
+404.00E-06,+4.55234385E+00
+405.00E-06,+4.55625010E+00
+406.00E-06,+4.56210947E+00
+407.00E-06,+4.56796885E+00
+408.00E-06,+4.57187510E+00
+409.00E-06,+4.57578135E+00
+410.00E-06,+4.58359385E+00
+411.00E-06,+4.58359385E+00
+412.00E-06,+4.59335947E+00
+413.00E-06,+4.59531260E+00
+414.00E-06,+4.60117197E+00
+415.00E-06,+4.60507822E+00
+416.00E-06,+4.60898447E+00
+417.00E-06,+4.61289072E+00
+418.00E-06,+4.61875010E+00
+419.00E-06,+4.62460947E+00
+420.00E-06,+4.62265635E+00
+421.00E-06,+4.62851572E+00
+422.00E-06,+4.63242197E+00
+423.00E-06,+4.63828135E+00
+424.00E-06,+4.64023447E+00
+425.00E-06,+4.64609385E+00
+426.00E-06,+4.65000010E+00
+427.00E-06,+4.65390635E+00
+428.00E-06,+4.65585947E+00
+429.00E-06,+4.66171885E+00
+430.00E-06,+4.66367197E+00
+431.00E-06,+4.66757822E+00
+432.00E-06,+4.67148447E+00
+433.00E-06,+4.67539072E+00
+434.00E-06,+4.67734385E+00
+435.00E-06,+4.68125010E+00
+436.00E-06,+4.68320322E+00
+437.00E-06,+4.68906260E+00
+438.00E-06,+4.69101572E+00
+439.00E-06,+4.69101572E+00
+440.00E-06,+4.69882822E+00
+441.00E-06,+4.70273447E+00
+442.00E-06,+4.70468760E+00
+443.00E-06,+4.70664072E+00
+444.00E-06,+4.71054697E+00
+445.00E-06,+4.71250010E+00
+446.00E-06,+4.71640635E+00
+447.00E-06,+4.71835947E+00
+448.00E-06,+4.72031260E+00
+449.00E-06,+4.72421885E+00
+450.00E-06,+4.72617197E+00
+451.00E-06,+4.72812510E+00
+452.00E-06,+4.73203135E+00
