Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
11234.99903031645,-0.005921919115145381,0.3115990859555829,-156.4662459574659
11242.78923778618,-0.006854996918968403,0.3106123061669416,-156.9715059087443
11250.58484688809,-0.004281388942476931,0.3081336474370916,-157.4605979168432
11258.38586136763,-0.005300412069069297,0.3042166782245826,-157.9879798201929
11266.19228497279,-0.002453386616263622,0.3007476681273452,-158.5017343092972
11274.00412145422,-0.002729227029281953,0.2984730602939792,-159.0162445007873
11281.82137456512,-0.001265891479655589,0.2960637312981781,-159.5310987825144
11289.64404806131,-0.001481710440305447,0.2928864631733583,-160.0810136161598
11297.47214570124,0.0001495705279950745,0.2884507638784858,-160.6004145154052
11305.30567124592,-0.002000433659958045,0.2856794367813961,-161.1405698028469
11313.144628459,-0.0008523121301768928,0.2820981498243099,-161.6697293289363
11320.98902110674,0.0002065141516263887,0.2784101550789857,-162.2116415023747
11328.83885295799,2.980353157123541e-05,0.2746889506597917,-162.7565574713801
11336.69412778423,-0.0001186622329634302,0.2708599704908995,-163.3141244466331
11344.55484935954,0.000633477502062539,0.2649424447647502,-163.8591422124617
11352.42102146065,0.001415149743432887,0.2607170667711103,-164.4219747077999
11360.29264786686,-0.0001819161866151991,0.2568669073641442,-164.9791482246377
11368.16973236014,0.0008058091547800298,0.2510954398372336,-165.5429536764808
11376.05227872505,0.001734218166422194,0.2467059047459277,-166.1228626821415
11383.94029074878,0.0003937317192845944,0.2401787358764658,-166.6851483924695
11391.83377222115,0.001643399507210499,0.2352271379077793,-167.2872623953002
11399.73272693461,-4.924453945505897e-05,0.2342353738431806,-167.8509877004614
11407.63715868424,0.0004079549557434619,0.2248538453987903,-168.4501011929715
11415.54707126774,0.0009685830227054725,0.2198437167050865,-169.0470518830343
11423.46246848546,0.0003298879617608834,0.2156571881513688,-169.6369215619617
11431.38335414036,0.0005092861379942693,0.2090639809750504,-170.2393353164788
11439.30973203808,0.001515664487627803,0.2011387917121964,-170.8570587500642
11447.24160598685,0.0005817485918425826,0.1960628062176543,-171.4780367418098
11455.17897979757,-0.0004499568056833697,0.1909658695229806,-172.1044017196429
11463.12185728378,3.417068513213833e-05,0.1824262059380537,-172.7190707336126
11471.07024226165,0.0004786952943940225,0.1759520102806677,-173.3483838694448
11479.02413855002,0.001312591903581996,0.1668339690010103,-173.9882411467204
11486.98354997035,0.0009676975193854432,0.1587561635207028,-174.6363792058563
11494.94848034677,0.001013392652682984,0.1524455054857571,-175.2755501198872
11502.91893350605,0.0006155467732411905,0.1438148037169538,-175.9397032618305
11510.89491327763,0.0008782107565995854,0.1377799688272111,-176.5846269831376
11518.87642349358,-0.0006884278258979257,0.12809780925154,-177.2481212820862
11526.86346798864,0.001593339768822963,0.1185358924625909,-177.913561827738
11534.85605060023,-0.0004762354965562022,0.1075838497945964,-178.5965895249929
11542.85417516838,0.001441560088270759,0.09907307666384785,-179.2748295979739
11550.85784553584,0.001518278802132624,0.08844813657896501,-179.9473621686798
11558.86706554799,0.001633050175523634,0.07717360835979367,179.3552001331799
11566.88183905287,0.001725714406213916,0.06755836606682482,178.6587197969693
11574.90216990123,0.002308398028129489,0.05521223977042965,177.9689857737922
11582.92806194643,0.001304138786406136,0.04467534109267685,177.268399853502
11590.95951904456,0.001920535982110451,0.03176660017675782,176.5307616353988
11598.99654505435,0.001498915731101422,0.02099371313977051,175.8315536245875
11607.0391438372,0.001374899271512709,0.008823303672284651,175.0985904283181
11615.08731925722,0.001276690467691055,-0.005162387728037437,174.363296300163
11623.14107518117,0.001330206813943215,-0.01709823909197578,173.6234499584925
11631.20041547851,0.001497984458998637,-0.03182775782108696,172.8785154844688
11639.26534402137,0.0005846457180398617,-0.04569394132344453,172.1346612427779
11647.33586468456,0.0009718435029998993,-0.06036959579489429,171.3792357602144
11655.4119813456,0.0006443593499752022,-0.07401486203545928,170.6053068864043
11663.49369788467,0.0007182999455515887,-0.08867845422773923,169.8396367210702
11671.58101818468,0.001366853830782026,-0.1061597503021962,169.0776482233044
11679.67394613118,0.00147356116145936,-0.1225904940366548,168.289912170781
11687.77248561246,0.0004125035086646366,-0.1408560603443655,167.4975933360852
11695.87664051947,0.0006874674976964268,-0.1591002105952606,166.6918184055325
11703.9864147459,0.001703991002564836,-0.1790356908485742,165.9028438404802
11712.1018121881,-0.001352494433748175,-0.1925554870429109,165.0887277633541
11720.22283674514,5.143209771300107e-05,-0.2132083678679478,164.2788092603313
11728.34949231879,-0.0006678206922733716,-0.2337148123264489,163.4397678134448
11736.48178281353,-0.001256202190475659,-0.2528490436859266,162.5989326821456
11744.61971213654,-0.001383485351784955,-0.2757110331521246,161.772640112724
11752.76328419771,-0.001570334513128546,-0.2970702950794616,160.8989379418203
11760.91250290965,-0.003050215085739245,-0.3214857484948024,160.0530567642745
11769.06737218767,-0.00346108899032665,-0.3425889090681029,159.1818610102481
11777.22789594982,-0.0036533210024579,-0.3682906749000776,158.3247176532456
11785.39407811682,-0.004701948185757864,-0.3908449645290207,157.4294839983471
11793.56592261216,-0.005523110749651954,-0.4176168965477037,156.5491270283339
11801.74343336202,-0.007488080555016166,-0.4501215167016059,155.6204209243215
11809.92661429531,-0.007894157516681013,-0.485866588377879,154.7127378234582
11818.11546934365,-0.009469255257072448,-0.5253111369016215,153.7733274748383
11826.31000244143,-0.01028615003246477,-0.5690720271149838,152.8122662174688
