Freq.	V(fb3)/V(inm3)
3.96278034255447e+003	(-1.83034106810198e+001dB,-4.17661454154856e+001°)
3.98107170553505e+003	(-1.82412912391813e+001dB,-4.16337264661121e+001°)
3.99944749761105e+003	(-1.81790807653044e+001dB,-4.15013673474880e+001°)
4.01790810848947e+003	(-1.81167793518983e+001dB,-4.13690707460993e+001°)
4.03645392967613e+003	(-1.80543870951815e+001dB,-4.12368393412066e+001°)
4.05508535448391e+003	(-1.79919040950653e+001dB,-4.11046758045702e+001°)
4.07380277804120e+003	(-1.79293304551378e+001dB,-4.09725828001786e+001°)
4.09260659730019e+003	(-1.78666662826462e+001dB,-4.08405629839785e+001°)
4.11149721104530e+003	(-1.78039116884790e+001dB,-4.07086190036064e+001°)
4.13047501990169e+003	(-1.77410667871483e+001dB,-4.05767534981238e+001°)
4.14954042634371e+003	(-1.76781316967702e+001dB,-4.04449690977531e+001°)
4.16869383470343e+003	(-1.76151065390455e+001dB,-4.03132684236153e+001°)
4.18793565117926e+003	(-1.75519914392401e+001dB,-4.01816540874717e+001°)
4.20726628384452e+003	(-1.74887865261642e+001dB,-4.00501286914657e+001°)
4.22668614265611e+003	(-1.74254919321511e+001dB,-3.99186948278698e+001°)
4.24619563946321e+003	(-1.73621077930356e+001dB,-3.97873550788317e+001°)
4.26579518801601e+003	(-1.72986342481323e+001dB,-3.96561120161249e+001°)
4.28548520397448e+003	(-1.72350714402123e+001dB,-3.95249682009018e+001°)
4.30526610491719e+003	(-1.71714195154806e+001dB,-3.93939261834484e+001°)
4.32513831035017e+003	(-1.71076786235523e+001dB,-3.92629885029438e+001°)
4.34510224171580e+003	(-1.70438489174283e+001dB,-3.91321576872178e+001°)
4.36515832240175e+003	(-1.69799305534707e+001dB,-3.90014362525173e+001°)
4.38530697774995e+003	(-1.69159236913782e+001dB,-3.88708267032703e+001°)
4.40554863506562e+003	(-1.68518284941598e+001dB,-3.87403315318557e+001°)
4.42588372362636e+003	(-1.67876451281092e+001dB,-3.86099532183749e+001°)
4.44631267469118e+003	(-1.67233737627786e+001dB,-3.84796942304264e+001°)
4.46683592150972e+003	(-1.66590145709512e+001dB,-3.83495570228837e+001°)
4.48745389933141e+003	(-1.65945677286141e+001dB,-3.82195440376751e+001°)
4.50816704541469e+003	(-1.65300334149310e+001dB,-3.80896577035689e+001°)
4.52897579903630e+003	(-1.64654118122133e+001dB,-3.79599004359581e+001°)
4.54988060150058e+003	(-1.64007031058920e+001dB,-3.78302746366527e+001°)
4.57088189614885e+003	(-1.63359074844887e+001dB,-3.77007826936703e+001°)
4.59198012836878e+003	(-1.62710251395860e+001dB,-3.75714269810345e+001°)
4.61317574560389e+003	(-1.62060562657983e+001dB,-3.74422098585723e+001°)
4.63446919736298e+003	(-1.61410010607409e+001dB,-3.73131336717183e+001°)
4.65586093522969e+003	(-1.60758597250004e+001dB,-3.71842007513205e+001°)
4.67735141287208e+003	(-1.60106324621034e+001dB,-3.70554134134489e+001°)
4.69894108605225e+003	(-1.59453194784854e+001dB,-3.69267739592086e+001°)
