Freq.	V(vin)/I(V3)
1.17489755493953e+002	(1.03551558997626e+002dB,-8.98743570068310e+001°)
1.20226443461741e+002	(1.03351559306487e+002dB,-8.98714304052806e+001°)
1.23026877081238e+002	(1.03151559629904e+002dB,-8.98684356343975e+001°)
1.25892541179416e+002	(1.02951559968563e+002dB,-8.98653711063118e+001°)
1.28824955169313e+002	(1.02751560323183e+002dB,-8.98622351961836e+001°)
1.31825673855640e+002	(1.02551560694515e+002dB,-8.98590262412968e+001°)
1.34896288259165e+002	(1.02351561083348e+002dB,-8.98557425402209e+001°)
1.38038426460288e+002	(1.02151561490506e+002dB,-8.98523823518901e+001°)
1.41253754462275e+002	(1.01951561916853e+002dB,-8.98489438946911e+001°)
1.44543977074592e+002	(1.01751562363293e+002dB,-8.98454253455050e+001°)
1.47910838816820e+002	(1.01551562830773e+002dB,-8.98418248387364e+001°)
1.51356124843620e+002	(1.01351563320285e+002dB,-8.98381404653625e+001°)
1.54881661891248e+002	(1.01151563832867e+002dB,-8.98343702718634e+001°)
1.58489319246111e+002	(1.00951564369607e+002dB,-8.98305122592313e+001°)
1.62181009735892e+002	(1.00751564931642e+002dB,-8.98265643818952e+001°)
1.65958690743755e+002	(1.00551565520165e+002dB,-8.98225245466308e+001°)
1.69824365246174e+002	(1.00351566136425e+002dB,-8.98183906114627e+001°)
1.73780082874937e+002	(1.00151566781728e+002dB,-8.98141603845205e+001°)
1.77827941003892e+002	(9.99515674574435e+001dB,-8.98098316228707e+001°)
1.81970085860998e+002	(9.97515681650047e+001dB,-8.98054020313418e+001°)
1.86208713666286e+002	(9.95515689059124e+001dB,-8.98008692613009e+001°)
1.90546071796324e+002	(9.93515696817381e+001dB,-8.97962309094079e+001°)
1.94984459975804e+002	(9.91515704941276e+001dB,-8.97914845163389e+001°)
1.99526231496887e+002	(9.89515713448041e+001dB,-8.97866275654890e+001°)
2.04173794466952e+002	(9.87515722355720e+001dB,-8.97816574816223e+001°)
2.08929613085403e+002	(9.85515731683207e+001dB,-8.97765716295327e+001°)
2.13796208950222e+002	(9.83515741450288e+001dB,-8.97713673126229e+001°)
2.18776162394954e+002	(9.81515751677681e+001dB,-8.97660417714837e+001°)
2.23872113856833e+002	(9.79515762387080e+001dB,-8.97605921824359e+001°)
2.29086765276776e+002	(9.77515773601201e+001dB,-8.97550156560197e+001°)
2.34422881531991e+002	(9.75515785343831e+001dB,-8.97493092354745e+001°)
2.39883291901948e+002	(9.73515797639880e+001dB,-8.97434698951744e+001°)
2.45470891568502e+002	(9.71515810515428e+001dB,-8.97374945389990e+001°)
2.51188643150957e+002	(9.69515823997788e+001dB,-8.97313799987234e+001°)
2.57039578276885e+002	(9.67515838115558e+001dB,-8.97251230323253e+001°)
2.63026799189537e+002	(9.65515852898686e+001dB,-8.97187203222577e+001°)
2.69153480392690e+002	(9.63515868378528e+001dB,-8.97121684737020e+001°)
2.75422870333816e+002	(9.61515884587921e+001dB,-8.97054640127602e+001°)
2.81838293126444e+002	(9.59515901561248e+001dB,-8.96986033846133e+001°)
2.88403150312659e+002	(9.57515919334513e+001dB,-8.96915829516493e+001°)
2.95120922666637e+002	(9.55515937945417e+001dB,-8.96843989915131e+001°)
3.01995172040200e+002	(9.53515957433438e+001dB,-8.96770476951459e+001°)
3.09029543251358e+002	(9.51515977839914e+001dB,-8.96695251647668e+001°)
3.16227766016837e+002	(9.49515999208131e+001dB,-8.96618274118008e+001°)
3.23593656929627e+002	(9.47516021583418e+001dB,-8.96539503547621e+001°)
3.31131121482590e+002	(9.45516045013237e+001dB,-8.96458898170996e+001°)
3.38844156139201e+002	(9.43516069547288e+001dB,-8.96376415249702e+001°)
3.46736850452530e+002	(9.41516095237613e+001dB,-8.96292011049808e+001°)
3.54813389233574e+002	(9.39516122138709e+001dB,-8.96205640818632e+001°)
3.63078054770100e+002	(9.37516150307640e+001dB,-8.96117258761104e+001°)
3.71535229097171e+002	(9.35516179804158e+001dB,-8.96026818015390e+001°)
3.80189396320559e+002	(9.33516210690835e+001dB,-8.95934270628067e+001°)
3.89045144994279e+002	(9.31516243033188e+001dB,-8.95839567528743e+001°)
3.98107170553495e+002	(9.29516276899826e+001dB,-8.95742658503953e+001°)
