time	V(vo_op)
2.117061002720532e-003	8.274066e+000
2.126826627720532e-003	8.282026e+000
2.136592252720532e-003	8.287863e+000
2.146357877720532e-003	8.292173e+000
2.156123502720531e-003	8.295372e+000
2.175654752720531e-003	8.299276e+000
2.195186002720530e-003	8.300484e+000
2.214717252720530e-003	8.299126e+000
2.234248502720530e-003	8.294740e+000
2.244014127720529e-003	8.290989e+000
2.253779752720529e-003	8.285701e+000
2.263545377720529e-003	8.278172e+000
2.273311002720529e-003	8.267284e+000
2.281769680190011e-003	8.253975e+000
2.289386060704422e-003	8.238161e+000
2.294457027496655e-003	8.224088e+000
2.299438613326378e-003	8.205379e+000
2.304578929255680e-003	8.179924e+000
2.308122330631367e-003	8.155254e+000
2.310497086412538e-003	8.130738e+000
2.312676330478925e-003	8.099884e+000
2.316196051064213e-003	8.039394e+000
2.319877854406112e-003	7.966795e+000
2.325813112977980e-003	7.836253e+000
2.333090861696048e-003	7.662986e+000
2.342856486696048e-003	7.416105e+000
2.352622111696047e-003	7.158062e+000
2.362387736696047e-003	6.890599e+000
2.372153361696047e-003	6.615260e+000
2.381918986696047e-003	6.333231e+000
2.391684611696047e-003	6.045605e+000
2.401450236696046e-003	5.753424e+000
2.411215861696046e-003	5.457717e+000
2.420981486696046e-003	5.159503e+000
2.430747111696046e-003	4.859842e+000
2.440512736696046e-003	4.559902e+000
2.450278361696045e-003	4.260904e+000
2.460043986696045e-003	3.964008e+000
2.469809611696045e-003	3.670304e+000
2.479575236696045e-003	3.380957e+000
2.489340861696044e-003	3.097140e+000
2.498192706600915e-003	2.845356e+000
2.505220442479134e-003	2.649783e+000
2.512971934663653e-003	2.439167e+000
2.522737559663652e-003	2.181251e+000
2.532503184663652e-003	1.932293e+000
2.542268809663652e-003	1.693686e+000
2.552034434663652e-003	1.466333e+000
2.561800059663652e-003	1.251153e+000
2.571565684663651e-003	1.046936e+000
2.575409118267138e-003	9.697828e-001
2.575412675741484e-003	9.697163e-001
2.575585467352563e-003	9.663704e-001
2.575758258963641e-003	9.630295e-001
2.575931050574719e-003	9.596935e-001
2.576103842185798e-003	9.563626e-001
2.576276633796876e-003	9.530366e-001
2.576449425407955e-003	9.497156e-001
2.576622217019033e-003	9.463996e-001
2.577836501595710e-003	9.231876e-001
2.578719189599471e-003	9.064547e-001
2.579450723857298e-003	8.927035e-001
2.580028186443041e-003	8.819016e-001
2.581479969467281e-003	8.549542e-001
2.582426698558353e-003	8.387460e-001
2.583179970628770e-003	8.288372e-001
2.583988909746341e-003	8.211462e-001
2.584989359346375e-003	8.130707e-001
2.586033547957487e-003	8.055559e-001
2.588121925179711e-003	7.916354e-001
2.590408495810792e-003	7.758277e-001
2.594306519644090e-003	7.435240e-001
2.599457563072600e-003	6.891057e-001
2.604233778877567e-003	6.295263e-001
2.611843376006361e-003	5.293193e-001
2.619784243601678e-003	4.299675e-001
2.627633743875110e-003	3.494232e-001
2.633314167216115e-003	3.139119e-001
2.639933009211151e-003	2.955359e-001
2.644298524820368e-003	2.899367e-001
2.650229911143050e-003	2.858026e-001
2.659761863719645e-003	2.816377e-001
2.669527488719645e-003	2.791784e-001
2.679293113719645e-003	2.780025e-001
2.689058738719645e-003	2.777086e-001
2.698824363719645e-003	2.782251e-001
2.708589988719644e-003	2.797457e-001
2.718355613719644e-003	2.828553e-001
2.728121238719644e-003	2.889333e-001
2.737886863719644e-003	3.018360e-001
2.747652488719644e-003	3.313011e-001
2.756362935121973e-003	3.866429e-001
2.765474025551057e-003	4.825150e-001
2.775239650551056e-003	6.168612e-001
2.784347832710822e-003	7.503500e-001
2.787893383412640e-003	7.906489e-001
2.792348456796751e-003	8.239693e-001
2.792367596692100e-003	8.240693e-001
2.792433219190441e-003	8.244471e-001
2.792520715854896e-003	8.249326e-001
2.792695709183805e-003	8.258673e-001
2.793045695841623e-003	8.276790e-001
2.793745669157259e-003	8.316491e-001
2.794482110666527e-003	8.371927e-001
2.795356163175541e-003	8.456668e-001
2.796181344734281e-003	8.548598e-001
2.797223945427269e-003	8.678216e-001
2.799309146813245e-003	8.962616e-001
2.800347173764567e-003	9.116676e-001
2.801740725231432e-003	9.339120e-001
2.803089201011307e-003	9.565036e-001
2.804337227970730e-003	9.783593e-001
2.805709172314732e-003	1.003349e+000
2.807308640203517e-003	1.033483e+000
2.808820238913039e-003	1.062872e+000
2.813514202205093e-003	1.159025e+000
2.818843916411388e-003	1.275302e+000
2.828609541411388e-003	1.499398e+000
2.838375166411388e-003	1.734867e+000
2.848140791411388e-003	1.981269e+000
2.857906416411388e-003	2.237186e+000
2.867672041411387e-003	2.501507e+000
2.877437666411387e-003	2.773162e+000
2.887203291411387e-003	3.051121e+000
2.896968916411387e-003	3.334360e+000
2.906734541411386e-003	3.621863e+000
2.916500166411386e-003	3.912607e+000
2.926265791411386e-003	4.205514e+000
2.936031416411386e-003	4.499397e+000
2.945797041411386e-003	4.793032e+000
2.955562666411385e-003	5.085270e+000
2.965328291411385e-003	5.375012e+000
2.975093916411385e-003	5.661266e+000
2.983316375476608e-003	5.898381e+000
2.991918456533591e-003	6.141979e+000
2.998816160247738e-003	6.333780e+000
3.006445299144837e-003	6.541512e+000
3.016210924144836e-003	6.800757e+000
3.025976549144836e-003	7.051819e+000
3.035742174144836e-003	7.293293e+000
3.045507799144836e-003	7.524240e+000
3.055273424144835e-003	7.743706e+000
3.065039049144835e-003	7.950788e+000
3.074804674144835e-003	8.137767e+000
3.078148416593058e-003	8.182715e+000
3.080861775432678e-003	8.202803e+000
3.082486402284554e-003	8.210799e+000
3.084506019654013e-003	8.218533e+000
3.086487787067000e-003	8.224903e+000
3.088944032182186e-003	8.231707e+000
3.091710602197422e-003	8.238423e+000
3.095128158742120e-003	8.245656e+000
3.099376405049071e-003	8.253412e+000
3.104403047040275e-003	8.261047e+000
3.112548940163615e-003	8.270894e+000
3.121634790996004e-003	8.279356e+000
3.131400415996004e-003	8.286061e+000
3.141166040996004e-003	8.290967e+000
3.150931665996004e-003	8.294617e+000
3.160697290996003e-003	8.297316e+000
3.180228540996003e-003	8.300476e+000
3.199759790996003e-003	8.301079e+000
3.219291040996002e-003	8.299118e+000
3.238822290996002e-003	8.293978e+000
3.248587915996002e-003	8.289693e+000
3.258353540996001e-003	8.283653e+000
3.268119165996001e-003	8.275007e+000
3.277884790996001e-003	8.262447e+000
3.287650415996001e-003	8.244674e+000
3.293383673474777e-003	8.230224e+000
3.299679987247090e-003	8.209230e+000
3.303614034662479e-003	8.191220e+000
3.308062354720751e-003	8.163030e+000
3.310676675977708e-003	8.139063e+000
3.313219644050926e-003	8.105850e+000
3.316017201258743e-003	8.059247e+000
3.319739106812171e-003	7.987362e+000
3.323738404559335e-003	7.901544e+000
3.330971632863575e-003	7.732360e+000
3.340387780632806e-003	7.497646e+000
3.350153405632805e-003	7.241828e+000
3.359919030632805e-003	6.976089e+000
3.369684655632805e-003	6.702130e+000
3.379450280632805e-003	6.421196e+000
3.389215905632805e-003	6.134407e+000
3.398981530632804e-003	5.842815e+000
3.408747155632804e-003	5.547454e+000
3.418512780632804e-003	5.249345e+000
3.428278405632804e-003	4.949527e+000
3.438044030632804e-003	4.649131e+000
3.447809655632803e-003	4.349376e+000
3.457575280632803e-003	4.051449e+000
3.467340905632803e-003	3.756453e+000
3.477106530632803e-003	3.465502e+000
3.486872155632803e-003	3.179660e+000
3.495237730911689e-003	2.939990e+000
3.503772795852752e-003	2.700898e+000
3.511708431104619e-003	2.483931e+000
3.521474056104619e-003	2.224525e+000
3.531239681104619e-003	1.973993e+000
3.541005306104619e-003	1.733699e+000
3.550770931104618e-003	1.504550e+000
3.560536556104618e-003	1.287463e+000
3.570302181104618e-003	1.081282e+000
3.574318493470567e-003	1.000207e+000
3.576743292540709e-003	9.529777e-001
3.579218720779446e-003	9.057871e-001
3.580590076503171e-003	8.800516e-001
3.581593651209041e-003	8.614282e-001
3.582575044340902e-003	8.440638e-001
3.583405474875932e-003	8.321745e-001
3.584535343635046e-003	8.206754e-001
3.585523644546540e-003	8.126521e-001
3.586550451055513e-003	8.052956e-001
3.588604064073460e-003	7.917145e-001
3.591373543819884e-003	7.729424e-001
3.594460195162581e-003	7.478606e-001
3.598924660948991e-003	7.017713e-001
3.603336437027841e-003	6.479452e-001
3.610967984631398e-003	5.482966e-001
3.619005914867642e-003	4.480788e-001
3.628771539867641e-003	3.480083e-001
3.634717328730023e-003	3.116621e-001
3.641536255196079e-003	2.944709e-001
3.646106408056364e-003	2.892022e-001
3.652184393879343e-003	2.853214e-001
3.661950018879343e-003	2.814074e-001
3.671715643879343e-003	2.791831e-001
3.681481268879343e-003	2.781846e-001
3.691246893879343e-003	2.780650e-001
3.701012518879342e-003	2.788073e-001
3.710778143879342e-003	2.806775e-001
3.720543768879342e-003	2.844182e-001
3.730309393879342e-003	2.918399e-001
3.740075018879342e-003	3.082043e-001
3.749840643879341e-003	3.467732e-001
3.759606268879341e-003	4.223641e-001
3.768478059045983e-003	5.264572e-001
3.777185882549212e-003	6.518493e-001
