Freq.	V(n002)
1.02258637061039e+002	(-1.17451230518603e+002dB,1.79587180799469e+002°)
1.02282185693404e+002	(-1.17447230518939e+002dB,1.79587085734134e+002°)
1.02305739748666e+002	(-1.17443230519274e+002dB,1.79586990646908e+002°)
1.02329299228075e+002	(-1.17439230519610e+002dB,1.79586895537784e+002°)
1.02352864132878e+002	(-1.17435230519946e+002dB,1.79586800406760e+002°)
1.02376434464327e+002	(-1.17431230520282e+002dB,1.79586705253828e+002°)
1.02400010223669e+002	(-1.17427230520618e+002dB,1.79586610078985e+002°)
1.02423591412156e+002	(-1.17423230520955e+002dB,1.79586514882225e+002°)
1.02447178031037e+002	(-1.17419230521291e+002dB,1.79586419663543e+002°)
1.02470770081564e+002	(-1.17415230521628e+002dB,1.79586324422934e+002°)
1.02494367564986e+002	(-1.17411230521965e+002dB,1.79586229160393e+002°)
1.02517970482555e+002	(-1.17407230522302e+002dB,1.79586133875915e+002°)
1.02541578835522e+002	(-1.17403230522639e+002dB,1.79586038569495e+002°)
1.02565192625140e+002	(-1.17399230522977e+002dB,1.79585943241128e+002°)
1.02588811852659e+002	(-1.17395230523314e+002dB,1.79585847890808e+002°)
1.02612436519333e+002	(-1.17391230523652e+002dB,1.79585752518532e+002°)
1.02636066626414e+002	(-1.17387230523990e+002dB,1.79585657124293e+002°)
1.02659702175154e+002	(-1.17383230524327e+002dB,1.79585561708087e+002°)
1.02683343166808e+002	(-1.17379230524666e+002dB,1.79585466269908e+002°)
1.02706989602627e+002	(-1.17375230525004e+002dB,1.79585370809752e+002°)
1.02730641483867e+002	(-1.17371230525342e+002dB,1.79585275327614e+002°)
1.02754298811780e+002	(-1.17367230525681e+002dB,1.79585179823487e+002°)
1.02777961587622e+002	(-1.17363230526020e+002dB,1.79585084297369e+002°)
1.02801629812646e+002	(-1.17359230526358e+002dB,1.79584988749252e+002°)
1.02825303488109e+002	(-1.17355230526697e+002dB,1.79584893179133e+002°)
1.02848982615264e+002	(-1.17351230527037e+002dB,1.79584797587006e+002°)
1.02872667195367e+002	(-1.17347230527376e+002dB,1.79584701972866e+002°)
1.02896357229674e+002	(-1.17343230527715e+002dB,1.79584606336708e+002°)
1.02920052719442e+002	(-1.17339230528055e+002dB,1.79584510678527e+002°)
1.02943753665926e+002	(-1.17335230528395e+002dB,1.79584414998317e+002°)
1.02967460070382e+002	(-1.17331230528735e+002dB,1.79584319296075e+002°)
1.02991171934069e+002	(-1.17327230529075e+002dB,1.79584223571794e+002°)
1.03014889258242e+002	(-1.17323230529415e+002dB,1.79584127825470e+002°)
1.03038612044161e+002	(-1.17319230529756e+002dB,1.79584032057098e+002°)
1.03062340293081e+002	(-1.17315230530096e+002dB,1.79583936266672e+002°)
1.03086074006261e+002	(-1.17311230530437e+002dB,1.79583840454187e+002°)
1.03109813184961e+002	(-1.17307230530778e+002dB,1.79583744619639e+002°)
1.03133557830437e+002	(-1.17303230531119e+002dB,1.79583648763022e+002°)
1.03157307943950e+002	(-1.17299230531460e+002dB,1.79583552884332e+002°)
1.03181063526758e+002	(-1.17295230531802e+002dB,1.79583456983562e+002°)
1.03204824580121e+002	(-1.17291230532143e+002dB,1.79583361060709e+002°)
1.03228591105299e+002	(-1.17287230532485e+002dB,1.79583265115766e+002°)
1.03252363103551e+002	(-1.17283230532827e+002dB,1.79583169148729e+002°)
1.03276140576139e+002	(-1.17279230533169e+002dB,1.79583073159593e+002°)
1.03299923524322e+002	(-1.17275230533511e+002dB,1.79582977148353e+002°)
1.03323711949362e+002	(-1.17271230533853e+002dB,1.79582881115003e+002°)
1.03347505852520e+002	(-1.17267230534196e+002dB,1.79582785059538e+002°)
1.03371305235057e+002	(-1.17263230534538e+002dB,1.79582688981955e+002°)
1.03395110098236e+002	(-1.17259230534881e+002dB,1.79582592882246e+002°)
1.03418920443318e+002	(-1.17255230535224e+002dB,1.79582496760407e+002°)
1.03442736271566e+002	(-1.17251230535567e+002dB,1.79582400616434e+002°)
1.03466557584242e+002	(-1.17247230535910e+002dB,1.79582304450321e+002°)
1.03490384382610e+002	(-1.17243230536254e+002dB,1.79582208262063e+002°)
1.03514216667933e+002	(-1.17239230536597e+002dB,1.79582112051654e+002°)
1.03538054441474e+002	(-1.17235230536941e+002dB,1.79582015819090e+002°)
1.03561897704497e+002	(-1.17231230537285e+002dB,1.79581919564366e+002°)
1.03585746458267e+002	(-1.17227230537629e+002dB,1.79581823287476e+002°)
1.03609600704047e+002	(-1.17223230537973e+002dB,1.79581726988416e+002°)
1.03633460443103e+002	(-1.17219230538317e+002dB,1.79581630667180e+002°)
1.03657325676699e+002	(-1.17215230538662e+002dB,1.79581534323763e+002°)
1.03681196406101e+002	(-1.17211230539007e+002dB,1.79581437958160e+002°)
1.03705072632575e+002	(-1.17207230539351e+002dB,1.79581341570367e+002°)
1.03728954357386e+002	(-1.17203230539696e+002dB,1.79581245160377e+002°)
1.03752841581800e+002	(-1.17199230540042e+002dB,1.79581148728186e+002°)
1.03776734307084e+002	(-1.17195230540387e+002dB,1.79581052273788e+002°)
1.03800632534505e+002	(-1.17191230540732e+002dB,1.79580955797179e+002°)
1.03824536265330e+002	(-1.17187230541078e+002dB,1.79580859298354e+002°)
1.03848445500826e+002	(-1.17183230541424e+002dB,1.79580762777307e+002°)
1.03872360242261e+002	(-1.17179230541770e+002dB,1.79580666234032e+002°)
1.03896280490902e+002	(-1.17175230542116e+002dB,1.79580569668527e+002°)
1.03920206248019e+002	(-1.17171230542462e+002dB,1.79580473080784e+002°)
1.03944137514879e+002	(-1.17167230542808e+002dB,1.79580376470798e+002°)
1.03968074292751e+002	(-1.17163230543155e+002dB,1.79580279838566e+002°)
1.03992016582905e+002	(-1.17159230543502e+002dB,1.79580183184081e+002°)
