Freq.	V(n006)
1.01157945425989e+002	(-1.03660259330302e+002dB,1.79583191021786e+002°)
1.01181240585558e+002	(-1.03656259330665e+002dB,1.79583095037641e+002°)
1.01204541109654e+002	(-1.03652259331027e+002dB,1.79582999031394e+002°)
1.01227846999511e+002	(-1.03648259331390e+002dB,1.79582903003037e+002°)
1.01251158256365e+002	(-1.03644259331753e+002dB,1.79582806952568e+002°)
1.01274474881453e+002	(-1.03640259332116e+002dB,1.79582710879980e+002°)
1.01297796876010e+002	(-1.03636259332479e+002dB,1.79582614785268e+002°)
1.01321124241273e+002	(-1.03632259332843e+002dB,1.79582518668428e+002°)
1.01344456978479e+002	(-1.03628259333206e+002dB,1.79582422529454e+002°)
1.01367795088864e+002	(-1.03624259333570e+002dB,1.79582326368341e+002°)
1.01391138573667e+002	(-1.03620259333934e+002dB,1.79582230185084e+002°)
1.01414487434125e+002	(-1.03616259334298e+002dB,1.79582133979678e+002°)
1.01437841671476e+002	(-1.03612259334662e+002dB,1.79582037752118e+002°)
1.01461201286958e+002	(-1.03608259335027e+002dB,1.79581941502399e+002°)
1.01484566281809e+002	(-1.03604259335391e+002dB,1.79581845230515e+002°)
1.01507936657269e+002	(-1.03600259335756e+002dB,1.79581748936462e+002°)
1.01531312414576e+002	(-1.03596259336121e+002dB,1.79581652620234e+002°)
1.01554693554969e+002	(-1.03592259336486e+002dB,1.79581556281827e+002°)
1.01578080079690e+002	(-1.03588259336851e+002dB,1.79581459921234e+002°)
1.01601471989976e+002	(-1.03584259337217e+002dB,1.79581363538452e+002°)
1.01624869287069e+002	(-1.03580259337582e+002dB,1.79581267133475e+002°)
1.01648271972209e+002	(-1.03576259337948e+002dB,1.79581170706298e+002°)
1.01671680046637e+002	(-1.03572259338314e+002dB,1.79581074256915e+002°)
1.01695093511594e+002	(-1.03568259338680e+002dB,1.79580977785322e+002°)
1.01718512368321e+002	(-1.03564259339046e+002dB,1.79580881291514e+002°)
1.01741936618060e+002	(-1.03560259339413e+002dB,1.79580784775485e+002°)
1.01765366262053e+002	(-1.03556259339779e+002dB,1.79580688237231e+002°)
1.01788801301542e+002	(-1.03552259340146e+002dB,1.79580591676745e+002°)
1.01812241737769e+002	(-1.03548259340513e+002dB,1.79580495094024e+002°)
1.01835687571978e+002	(-1.03544259340880e+002dB,1.79580398489062e+002°)
1.01859138805411e+002	(-1.03540259341247e+002dB,1.79580301861853e+002°)
1.01882595439312e+002	(-1.03536259341615e+002dB,1.79580205212393e+002°)
1.01906057474924e+002	(-1.03532259341982e+002dB,1.79580108540677e+002°)
1.01929524913492e+002	(-1.03528259342350e+002dB,1.79580011846699e+002°)
1.01952997756260e+002	(-1.03524259342718e+002dB,1.79579915130455e+002°)
1.01976476004471e+002	(-1.03520259343086e+002dB,1.79579818391939e+002°)
1.01999959659371e+002	(-1.03516259343454e+002dB,1.79579721631145e+002°)
1.02023448722206e+002	(-1.03512259343823e+002dB,1.79579624848070e+002°)
1.02046943194219e+002	(-1.03508259344191e+002dB,1.79579528042708e+002°)
1.02070443076658e+002	(-1.03504259344560e+002dB,1.79579431215053e+002°)
1.02093948370767e+002	(-1.03500259344929e+002dB,1.79579334365101e+002°)
1.02117459077794e+002	(-1.03496259345298e+002dB,1.79579237492846e+002°)
1.02140975198984e+002	(-1.03492259345668e+002dB,1.79579140598284e+002°)
1.02164496735585e+002	(-1.03488259346037e+002dB,1.79579043681409e+002°)
1.02188023688843e+002	(-1.03484259346407e+002dB,1.79578946742215e+002°)
1.02211556060006e+002	(-1.03480259346776e+002dB,1.79578849780699e+002°)
1.02235093850322e+002	(-1.03476259347146e+002dB,1.79578752796854e+002°)
1.02258637061039e+002	(-1.03472259347517e+002dB,1.79578655790676e+002°)
