Freq.	V(outder)/V(VIN)
2.51188643150956e+003	(4.63307853475269e+000dB,-9.12053602104197e+001°)
2.57039578276885e+003	(4.83312684437583e+000dB,-9.12334476231311e+001°)
2.63026799189536e+003	(5.03317742901384e+000dB,-9.12621900600829e+001°)
2.69153480392690e+003	(5.23323039571622e+000dB,-9.12916028348493e+001°)
2.75422870333815e+003	(5.43328585656125e+000dB,-9.13217016217161e+001°)
2.81838293126443e+003	(5.63334392889141e+000dB,-9.13525024643696e+001°)
2.88403150312659e+003	(5.83340473555983e+000dB,-9.13840217848090e+001°)
2.95120922666636e+003	(6.03346840518804e+000dB,-9.14162763924875e+001°)
3.01995172040199e+003	(6.23353507243576e+000dB,-9.14492834936910e+001°)
3.09029543251357e+003	(6.43360487828321e+000dB,-9.14830607011592e+001°)
3.16227766016836e+003	(6.63367797032648e+000dB,-9.15176260439593e+001°)
3.23593656929626e+003	(6.83375450308661e+000dB,-9.15529979776174e+001°)
3.31131121482589e+003	(7.03383463833295e+000dB,-9.15891953945182e+001°)
3.38844156139200e+003	(7.23391854542141e+000dB,-9.16262376345790e+001°)
3.46736850452529e+003	(7.43400640164852e+000dB,-9.16641444962091e+001°)
3.54813389233573e+003	(7.63409839262158e+000dB,-9.17029362475621e+001°)
3.63078054770099e+003	(7.83419471264608e+000dB,-9.17426336380916e+001°)
3.71535229097170e+003	(8.03429556513082e+000dB,-9.17832579104194e+001°)
3.80189396320558e+003	(8.23440116301170e+000dB,-9.18248308125284e+001°)
3.89045144994278e+003	(8.43451172919509e+000dB,-9.18673746102887e+001°)
3.98107170553494e+003	(8.63462749702134e+000dB,-9.19109121003298e+001°)
4.07380277804110e+003	(8.83474871074969e+000dB,-9.19554666232714e+001°)
4.16869383470332e+003	(9.03487562606527e+000dB,-9.20010620773235e+001°)
4.26579518801589e+003	(9.23500851060932e+000dB,-9.20477229322699e+001°)
4.36515832240162e+003	(9.43514764453362e+000dB,-9.20954742438491e+001°)
4.46683592150960e+003	(9.63529332108003e+000dB,-9.21443416685460e+001°)
4.57088189614871e+003	(9.83544584718653e+000dB,-9.21943514788108e+001°)
4.67735141287194e+003	(1.00356055441207e+001dB,-9.22455305787189e+001°)
4.78630092322634e+003	(1.02357727481420e+001dB,-9.22979065200908e+001°)
4.89778819368442e+003	(1.04359478111937e+001dB,-9.23515075190870e+001°)
5.01187233627268e+003	(1.06361311016261e+001dB,-9.24063624732982e+001°)
5.12861383991361e+003	(1.08363230049530e+001dB,-9.24625009793490e+001°)
5.24807460249768e+003	(1.10365239246409e+001dB,-9.25199533510352e+001°)
5.37031796370248e+003	(1.12367342829344e+001dB,-9.25787506380169e+001°)
5.49540873857620e+003	(1.14369545217184e+001dB,-9.26389246450888e+001°)
5.62341325190344e+003	(1.16371851034185e+001dB,-9.27005079520524e+001°)
5.75439937337152e+003	(1.18374265119413e+001dB,-9.27635339342139e+001°)
5.88843655355584e+003	(1.20376792536567e+001dB,-9.28280367835353e+001°)
6.02559586074353e+003	(1.22379438584234e+001dB,-9.28940515304653e+001°)
6.16595001861477e+003	(1.24382208806592e+001dB,-9.29616140664802e+001°)
6.30957344480188e+003	(1.26385109004587e+001dB,-9.30307611673651e+001°)
6.45654229034650e+003	(1.28388145247593e+001dB,-9.31015305172689e+001°)
6.60693448007590e+003	(1.30391323885585e+001dB,-9.31739607335662e+001°)
6.76082975391976e+003	(1.32394651561833e+001dB,-9.32480913925644e+001°)
6.91830970918931e+003	(1.34398135226144e+001dB,-9.33239630560936e+001°)
7.07945784384132e+003	(1.36401782148673e+001dB,-9.34016172990207e+001°)
7.24435960074984e+003	(1.38405599934326e+001dB,-9.34810967377301e+001°)
7.41310241300911e+003	(1.40409596537766e+001dB,-9.35624450596190e+001°)
7.58577575029177e+003	(1.42413780279057e+001dB,-9.36457070536537e+001°)
7.76247116628685e+003	(1.44418159859964e+001dB,-9.37309286420398e+001°)
7.94328234724275e+003	(1.46422744380929e+001dB,-9.38181569130610e+001°)
8.12830516164092e+003	(1.48427543358744e+001dB,-9.39074401551444e+001°)
8.31763771102664e+003	(1.50432566744959e+001dB,-9.39988278922135e+001°)
8.51138038202369e+003	(1.52437824945027e+001dB,-9.40923709203953e+001°)
8.70963589956073e+003	(1.54443328838227e+001dB,-9.41881213461509e+001°)
8.91250938133738e+003	(1.56449089798383e+001dB,-9.42861326259022e+001°)
9.12010839355902e+003	(1.58455119715390e+001dB,-9.43864596072355e+001°)
9.33254300796983e+003	(1.60461431017598e+001dB,-9.44891585717635e+001°)
9.54992586021428e+003	(1.62468036695046e+001dB,-9.45942872797359e+001°)
9.77237220955802e+003	(1.64474950323585e+001dB,-9.47019050164918e+001°)
9.99999999999991e+003	(1.66482186089913e+001dB,-9.48120726408563e+001°)
