Freq.	V(outint)/V(Vin)
5.37031796370250e+002	(-9.97925792767200e-001dB,1.06142276315806e+002°)
5.49540873857622e+002	(-1.18270203138922e+000dB,1.05791295898575e+002°)
5.62341325190346e+002	(-1.36811347609692e+000dB,1.05447077406055e+002°)
5.75439937337154e+002	(-1.55413562969675e+000dB,1.05109536761693e+002°)
5.88843655355586e+002	(-1.74074477416220e+000dB,1.04778587772610e+002°)
6.02559586074355e+002	(-1.92791795968740e+000dB,1.04454142368094e+002°)
6.16595001861479e+002	(-2.11563299463170e+000dB,1.04136110839967e+002°)
6.30957344480190e+002	(-2.30386842827695e+000dB,1.03824402050302e+002°)
6.45654229034652e+002	(-2.49260354148404e+000dB,1.03518923648764e+002°)
6.60693448007592e+002	(-2.68181832796429e+000dB,1.03219582263472e+002°)
6.76082975391978e+002	(-2.87149348239167e+000dB,1.02926283688364e+002°)
6.91830970918933e+002	(-3.06161038085086e+000dB,1.02638933056497e+002°)
7.07945784384134e+002	(-3.25215106847346e+000dB,1.02357435005974e+002°)
7.24435960074986e+002	(-3.44309824015930e+000dB,1.02081693824883e+002°)
7.41310241300914e+002	(-3.63443522431418e+000dB,1.01811613606343e+002°)
7.58577575029180e+002	(-3.82614596623216e+000dB,1.01547098371613e+002°)
7.76247116628688e+002	(-4.01821501027983e+000dB,1.01288052203997e+002°)
7.94328234724277e+002	(-4.21062748529090e+000dB,1.01034379357976e+002°)
8.12830516164095e+002	(-4.40336908241991e+000dB,1.00785984368090e+002°)
8.31763771102666e+002	(-4.59642604337480e+000dB,1.00542772152271e+002°)
8.51138038202372e+002	(-4.78978514095931e+000dB,1.00304648097189e+002°)
8.70963589956076e+002	(-4.98343366225263e+000dB,1.00071518149467e+002°)
8.91250938133741e+002	(-5.17735939183119e+000dB,9.98432888840439e+001°)
9.12010839355905e+002	(-5.37155059732120e+000dB,9.96198675881163e+001°)
9.33254300796986e+002	(-5.56599600995402e+000dB,9.94011623120702e+001°)
9.54992586021431e+002	(-5.76068481318237e+000dB,9.91870819360123e+001°)
9.77237220955805e+002	(-5.95560662341619e+000dB,9.89775362236790e+001°)
9.99999999999994e+002	(-6.15075147669872e+000dB,9.87724358662485e+001°)
1.02329299228075e+003	(-6.34610981290225e+000dB,9.85716925280324e+001°)
1.04712854805089e+003	(-6.54167246241682e+000dB,9.83752188830851e+001°)
1.07151930523760e+003	(-6.73743063039566e+000dB,9.81829286482181e+001°)
1.09647819614318e+003	(-6.93337588486570e+000dB,9.79947366203910e+001°)
1.12201845430196e+003	(-7.12950014114571e+000dB,9.78105586871496e+001°)
1.14815362149688e+003	(-7.32579565092149e+000dB,9.76303118672007e+001°)
1.17489755493952e+003	(-7.52225498837867e+000dB,9.74539143143805e+001°)
1.20226443461741e+003	(-7.71887103719418e+000dB,9.72812853418559e+001°)
1.23026877081237e+003	(-7.91563698045464e+000dB,9.71123454341411e+001°)
1.25892541179416e+003	(-8.11254628914522e+000dB,9.69470162525508e+001°)
1.28824955169313e+003	(-8.30959270657361e+000dB,9.67852206470152e+001°)
1.31825673855640e+003	(-8.50677024491461e+000dB,9.66268826618840e+001°)
1.34896288259165e+003	(-8.70407316715305e+000dB,9.64719275332793e+001°)
1.38038426460288e+003	(-8.90149598359923e+000dB,9.63202816982907e+001°)
1.41253754462275e+003	(-9.09903343588168e+000dB,9.61718727859766e+001°)
1.44543977074592e+003	(-9.29668049362660e+000dB,9.60266296190800e+001°)
1.47910838816820e+003	(-9.49443234095324e+000dB,9.58844822123137e+001°)
1.51356124843620e+003	(-9.69228436752813e+000dB,9.57453617581994e+001°)
1.54881661891247e+003	(-9.89023216527671e+000dB,9.56092006310032e+001°)
1.58489319246110e+003	(-1.00882715131659e+001dB,9.54759323675404e+001°)
1.62181009735892e+003	(-1.02863983748734e+001dB,9.53454916692957e+001°)
1.65958690743755e+003	(-1.04846088874438e+001dB,9.52178143805848e+001°)
