Freq.	V(out)
1.25892541179416e+001	(-4.03685764403913e-004dB,-6.56500323975210e-001°)
1.26182753459066e+001	(-4.04265581712659e-004dB,-6.58013735789692e-001°)
1.26473634747114e+001	(-4.04848075756755e-004dB,-6.59530636533062e-001°)
1.26765186585784e+001	(-4.05433258872027e-004dB,-6.61051034249204e-001°)
1.27057410520853e+001	(-4.06021143475315e-004dB,-6.62574937000545e-001°)
1.27350308101665e+001	(-4.06611742065437e-004dB,-6.64102352868116e-001°)
1.27643880881134e+001	(-4.07205067148930e-004dB,-6.65633289951575e-001°)
1.27938130415752e+001	(-4.07801131314312e-004dB,-6.67167756369263e-001°)
1.28233058265601e+001	(-4.08399947219539e-004dB,-6.68705760258243e-001°)
1.28528665994361e+001	(-4.09001527578508e-004dB,-6.70247309774344e-001°)
1.28824955169313e+001	(-4.09605885130196e-004dB,-6.71792413092203e-001°)
1.29121927361353e+001	(-4.10213032708094e-004dB,-6.73341078405307e-001°)
1.29419584144998e+001	(-4.10822983208384e-004dB,-6.74893313926046e-001°)
1.29717927098395e+001	(-4.11435749555220e-004dB,-6.76449127885743e-001°)
1.30016957803328e+001	(-4.12051344760523e-004dB,-6.78008528534703e-001°)
1.30316677845229e+001	(-4.12669781879614e-004dB,-6.79571524142264e-001°)
1.30617088813183e+001	(-4.13291074023757e-004dB,-6.81138122996830e-001°)
1.30918192299940e+001	(-4.13915234399694e-004dB,-6.82708333405922e-001°)
1.31219989901920e+001	(-4.14542276240212e-004dB,-6.84282163696221e-001°)
1.31522483219223e+001	(-4.15172212852361e-004dB,-6.85859622213607e-001°)
1.31825673855640e+001	(-4.15805057588524e-004dB,-6.87440717323210e-001°)
1.32129563418657e+001	(-4.16440823904278e-004dB,-6.89025457409455e-001°)
1.32434153519466e+001	(-4.17079525251351e-004dB,-6.90613850876100e-001°)
1.32739445772973e+001	(-4.17721175206845e-004dB,-6.92205906146280e-001°)
1.33045441797808e+001	(-4.18365787396088e-004dB,-6.93801631662568e-001°)
1.33352143216332e+001	(-4.19013375471418e-004dB,-6.95401035886994e-001°)
1.33659551654643e+001	(-4.19663953178724e-004dB,-6.97004127301112e-001°)
1.33967668742593e+001	(-4.20317534331407e-004dB,-6.98610914406036e-001°)
1.34276496113785e+001	(-4.20974132795920e-004dB,-7.00221405722483e-001°)
1.34586035405594e+001	(-4.21633762487902e-004dB,-7.01835609790821e-001°)
1.34896288259164e+001	(-4.22296437436797e-004dB,-7.03453535171119e-001°)
1.35207256319427e+001	(-4.22962171679773e-004dB,-7.05075190443184e-001°)
1.35518941235103e+001	(-4.23630979350441e-004dB,-7.06700584206610e-001°)
1.35831344658714e+001	(-4.24302874623888e-004dB,-7.08329725080827e-001°)
1.36144468246594e+001	(-4.24977871781292e-004dB,-7.09962621705141e-001°)
1.36458313658891e+001	(-4.25655985127945e-004dB,-7.11599282738786e-001°)
1.36772882559584e+001	(-4.26337229060764e-004dB,-7.13239716860962e-001°)
1.37088176616484e+001	(-4.27021618031643e-004dB,-7.14883932770894e-001°)
1.37404197501251e+001	(-4.27709166559027e-004dB,-7.16531939187861e-001°)
1.37720946889394e+001	(-4.28399889249125e-004dB,-7.18183744851258e-001°)
1.38038426460287e+001	(-4.29093800738051e-004dB,-7.19839358520634e-001°)
1.38356637897177e+001	(-4.29790915767045e-004dB,-7.21498788975738e-001°)
1.38675582887188e+001	(-4.30491249109177e-004dB,-7.23162045016570e-001°)
1.38995263121334e+001	(-4.31194815641681e-004dB,-7.24829135463428e-001°)
1.39315680294529e+001	(-4.31901630283265e-004dB,-7.26500069156948e-001°)
1.39636836105593e+001	(-4.32611708039441e-004dB,-7.28174854958161e-001°)
1.39958732257261e+001	(-4.33325063976484e-004dB,-7.29853501748529e-001°)
1.40281370456195e+001	(-4.34041713226256e-004dB,-7.31536018430004e-001°)
1.40604752412990e+001	(-4.34761670991991e-004dB,-7.33222413925061e-001°)
1.40928879842186e+001	(-4.35484952568548e-004dB,-7.34912697176762e-001°)
1.41253754462274e+001	(-4.36211573289369e-004dB,-7.36606877148791e-001°)
1.41579377995707e+001	(-4.36941548567950e-004dB,-7.38304962825504e-001°)
1.41905752168908e+001	(-4.37674893915197e-004dB,-7.40006963211986e-001°)
1.42232878712281e+001	(-4.38411624871919e-004dB,-7.41712887334076e-001°)
1.42560759360218e+001	(-4.39151757080197e-004dB,-7.43422744238450e-001°)
1.42889395851109e+001	(-4.39895306256377e-004dB,-7.45136542992636e-001°)
1.43218789927353e+001	(-4.40642288155388e-004dB,-7.46854292685075e-001°)
1.43548943335364e+001	(-4.41392718635359e-004dB,-7.48576002425177e-001°)
1.43879857825583e+001	(-4.42146613639292e-004dB,-7.50301681343357e-001°)
1.44211535152486e+001	(-4.42903989142024e-004dB,-7.52031338591093e-001°)
1.44543977074592e+001	(-4.43664861225448e-004dB,-7.53764983340963e-001°)
1.44877185354475e+001	(-4.44429246024506e-004dB,-7.55502624786706e-001°)
1.45211161758773e+001	(-4.45197159780232e-004dB,-7.57244272143268e-001°)
1.45545908058195e+001	(-4.45968618770317e-004dB,-7.58989934646845e-001°)
1.45881426027534e+001	(-4.46743639380473e-004dB,-7.60739621554935e-001°)
1.46217717445671e+001	(-4.47522238045603e-004dB,-7.62493342146392e-001°)
1.46554784095590e+001	(-4.48304431281630e-004dB,-7.64251105721468e-001°)
1.46892627764385e+001	(-4.49090235703818e-004dB,-7.66012921601867e-001°)
1.47231250243271e+001	(-4.49879667983375e-004dB,-7.67778799130792e-001°)
1.47570653327588e+001	(-4.50672744859990e-004dB,-7.69548747672999e-001°)
1.47910838816819e+001	(-4.51469483180409e-004dB,-7.71322776614841e-001°)
1.48251808514594e+001	(-4.52269899839609e-004dB,-7.73100895364322e-001°)
1.48593564228699e+001	(-4.53074011827084e-004dB,-7.74883113351141e-001°)
1.48936107771090e+001	(-4.53881836216243e-004dB,-7.76669440026756e-001°)
1.49279440957898e+001	(-4.54693390124865e-004dB,-7.78459884864416e-001°)
1.49623565609442e+001	(-4.55508690799968e-004dB,-7.80254457359225e-001°)
1.49968483550236e+001	(-4.56327755543551e-004dB,-7.82053167028184e-001°)
1.50314196609001e+001	(-4.57150601714522e-004dB,-7.83856023410251e-001°)
1.50660706618673e+001	(-4.57977246794278e-004dB,-7.85663036066379e-001°)
1.51008015416413e+001	(-4.58807708316302e-004dB,-7.87474214579579e-001°)
1.51356124843619e+001	(-4.59642003905707e-004dB,-7.89289568554963e-001°)
1.51705036745932e+001	(-4.60480151268623e-004dB,-7.91109107619799e-001°)
1.52054752973248e+001	(-4.61322168197987e-004dB,-7.92932841423559e-001°)
1.52405275379728e+001	(-4.62168072557150e-004dB,-7.94760779637975e-001°)
1.52756605823806e+001	(-4.63017882294337e-004dB,-7.96592931957085e-001°)
1.53108746168202e+001	(-4.63871615454226e-004dB,-7.98429308097289e-001°)
1.53461698279928e+001	(-4.64729290123938e-004dB,-8.00269917797394e-001°)
1.53815464030302e+001	(-4.65590924556480e-004dB,-8.02114770818677e-001°)
1.54170045294954e+001	(-4.66456536993301e-004dB,-8.03963876944927e-001°)
1.54525443953840e+001	(-4.67326145818589e-004dB,-8.05817245982500e-001°)
1.54881661891247e+001	(-4.68199769492731e-004dB,-8.07674887760373e-001°)
1.55238700995807e+001	(-4.69077426546527e-004dB,-8.09536812130193e-001°)
1.55596563160506e+001	(-4.69959135616872e-004dB,-8.11403028966332e-001°)
1.55955250282694e+001	(-4.70844915421682e-004dB,-8.13273548165938e-001°)
1.56314764264094e+001	(-4.71734784731928e-004dB,-8.15148379648988e-001°)
1.56675107010813e+001	(-4.72628762450713e-004dB,-8.17027533358339e-001°)
1.57036280433354e+001	(-4.73526867555411e-004dB,-8.18911019259789e-001°)
1.57398286446620e+001	(-4.74429119085131e-004dB,-8.20798847342115e-001°)
1.57761126969933e+001	(-4.75335536208224e-004dB,-8.22691027617142e-001°)
1.58124803927037e+001	(-4.76246138150914e-004dB,-8.24587570119785e-001°)
1.58489319246110e+001	(-4.77160944249382e-004dB,-8.26488484908106e-001°)
1.58854674859776e+001	(-4.78079973909256e-004dB,-8.28393782063368e-001°)
1.59220872705115e+001	(-4.79003246634548e-004dB,-8.30303471690093e-001°)
1.59587914723672e+001	(-4.79930782016077e-004dB,-8.32217563916104e-001°)
1.59955802861465e+001	(-4.80862599757509e-004dB,-8.34136068892591e-001°)
1.60324539069002e+001	(-4.81798719619423e-004dB,-8.36058996794156e-001°)
1.60694125301286e+001	(-4.82739161463675e-004dB,-8.37986357818871e-001°)
1.61064563517825e+001	(-4.83683945267859e-004dB,-8.39918162188338e-001°)
1.61435855682647e+001	(-4.84633091066485e-004dB,-8.41854420147732e-001°)
1.61808003764305e+001	(-4.85586619010767e-004dB,-8.43795141965858e-001°)
1.62181009735891e+001	(-4.86544549344516e-004dB,-8.45740337935216e-001°)
1.62554875575047e+001	(-4.87506902383886e-004dB,-8.47690018372046e-001°)
1.62929603263970e+001	(-4.88473698560774e-004dB,-8.49644193616380e-001°)
1.63305194789432e+001	(-4.89444958405460e-004dB,-8.51602874032109e-001°)
1.63681652142779e+001	(-4.90420702508993e-004dB,-8.53566070007024e-001°)
