Freq.	V(out)
1.16412602941049e+003	(-2.73054029780252e+001dB,1.24999093315546e+002°)
1.16680961706096e+003	(-2.72728254554182e+001dB,1.25011325031837e+002°)
1.16949939101987e+003	(-2.72402344170174e+001dB,1.25023397340471e+002°)
1.17219536554813e+003	(-2.72076299238894e+001dB,1.25035309825618e+002°)
1.17489755493953e+003	(-2.71750120373150e+001dB,1.25047062072494e+002°)
1.17760597352080e+003	(-2.71423808187881e+001dB,1.25058653667365e+002°)
1.18032063565173e+003	(-2.71097363300150e+001dB,1.25070084197553e+002°)
1.18304155572516e+003	(-2.70770786329138e+001dB,1.25081353251436e+002°)
1.18576874816716e+003	(-2.70444077896132e+001dB,1.25092460418454e+002°)
1.18850222743701e+003	(-2.70117238624518e+001dB,1.25103405289111e+002°)
1.19124200802737e+003	(-2.69790269139778e+001dB,1.25114187454981e+002°)
1.19398810446427e+003	(-2.69463170069475e+001dB,1.25124806508708e+002°)
1.19674053130724e+003	(-2.69135942043249e+001dB,1.25135262044010e+002°)
1.19949930314937e+003	(-2.68808585692808e+001dB,1.25145553655685e+002°)
1.20226443461741e+003	(-2.68481101651920e+001dB,1.25155680939611e+002°)
1.20503594037179e+003	(-2.68153490556408e+001dB,1.25165643492752e+002°)
1.20781383510678e+003	(-2.67825753044135e+001dB,1.25175440913158e+002°)
1.21059813355048e+003	(-2.67497889755005e+001dB,1.25185072799972e+002°)
1.21338885046497e+003	(-2.67169901330946e+001dB,1.25194538753429e+002°)
1.21618600064636e+003	(-2.66841788415909e+001dB,1.25203838374863e+002°)
1.21898959892486e+003	(-2.66513551655860e+001dB,1.25212971266706e+002°)
1.22179966016487e+003	(-2.66185191698766e+001dB,1.25221937032496e+002°)
1.22461619926504e+003	(-2.65856709194592e+001dB,1.25230735276874e+002°)
1.22743923115840e+003	(-2.65528104795295e+001dB,1.25239365605592e+002°)
1.23026877081238e+003	(-2.65199379154809e+001dB,1.25247827625513e+002°)
1.23310483322890e+003	(-2.64870532929046e+001dB,1.25256120944615e+002°)
1.23594743344450e+003	(-2.64541566775881e+001dB,1.25264245171995e+002°)
1.23879658653036e+003	(-2.64212481355147e+001dB,1.25272199917866e+002°)
1.24165230759241e+003	(-2.63883277328629e+001dB,1.25279984793569e+002°)
1.24451461177138e+003	(-2.63553955360053e+001dB,1.25287599411567e+002°)
1.24738351424294e+003	(-2.63224516115080e+001dB,1.25295043385454e+002°)
1.25025903021771e+003	(-2.62894960261298e+001dB,1.25302316329954e+002°)
1.25314117494141e+003	(-2.62565288468216e+001dB,1.25309417860923e+002°)
1.25602996369487e+003	(-2.62235501407253e+001dB,1.25316347595355e+002°)
1.25892541179416e+003	(-2.61905599751733e+001dB,1.25323105151382e+002°)
1.26182753459066e+003	(-2.61575584176874e+001dB,1.25329690148278e+002°)
1.26473634747115e+003	(-2.61245455359787e+001dB,1.25336102206458e+002°)
1.26765186585784e+003	(-2.60915213979462e+001dB,1.25342340947487e+002°)
1.27057410520854e+003	(-2.60584860716761e+001dB,1.25348405994075e+002°)
1.27350308101666e+003	(-2.60254396254416e+001dB,1.25354296970084e+002°)
1.27643880881134e+003	(-2.59923821277014e+001dB,1.25360013500529e+002°)
1.27938130415752e+003	(-2.59593136470996e+001dB,1.25365555211580e+002°)
1.28233058265601e+003	(-2.59262342524645e+001dB,1.25370921730564e+002°)
1.28528665994361e+003	(-2.58931440128080e+001dB,1.25376112685970e+002°)
1.28824955169313e+003	(-2.58600429973251e+001dB,1.25381127707447e+002°)
