Freq.	V(out)
1.17219536554813e+000	(-2.09222840710521e-006dB,-3.96670899414401e-002°)
1.17489755493953e+000	(-2.10188569288743e-006dB,-3.97585320219281e-002°)
1.17760597352080e+000	(-2.11158755665702e-006dB,-3.98501848981425e-002°)
1.18032063565173e+000	(-2.12133420285161e-006dB,-3.99420490560174e-002°)
1.18304155572516e+000	(-2.13112583783747e-006dB,-4.00341249826071e-002°)
1.18576874816716e+000	(-2.14096266701655e-006dB,-4.01264131660886e-002°)
1.18850222743702e+000	(-2.15084490061245e-006dB,-4.02189140957643e-002°)
1.19124200802737e+000	(-2.16077275174175e-006dB,-4.03116282620646e-002°)
1.19398810446427e+000	(-2.17074642387775e-006dB,-4.04045561565502e-002°)
1.19674053130724e+000	(-2.18076613495867e-006dB,-4.04976982719154e-002°)
1.19949930314938e+000	(-2.19083209424378e-006dB,-4.05910551019900e-002°)
1.20226443461741e+000	(-2.20094451677832e-006dB,-4.06846271417421e-002°)
1.20503594037179e+000	(-2.21110361567888e-006dB,-4.07784148872811e-002°)
1.20781383510678e+000	(-2.22130960502638e-006dB,-4.08724188358598e-002°)
1.21059813355048e+000	(-2.23156270565202e-006dB,-4.09666394858775e-002°)
1.21338885046497e+000	(-2.24186313067240e-006dB,-4.10610773368822e-002°)
1.21618600064636e+000	(-2.25221109995441e-006dB,-4.11557328895736e-002°)
1.21898959892486e+000	(-2.26260683625792e-006dB,-4.12506066458057e-002°)
1.22179966016487e+000	(-2.27305055366385e-006dB,-4.13456991085892e-002°)
1.22461619926504e+000	(-2.28354247878939e-006dB,-4.14410107820945e-002°)
1.22743923115840e+000	(-2.29408283343010e-006dB,-4.15365421716543e-002°)
1.23026877081238e+000	(-2.30467183938152e-006dB,-4.16322937837659e-002°)
1.23310483322890e+000	(-2.31530971940353e-006dB,-4.17282661260946e-002°)
1.23594743344451e+000	(-2.32599670589931e-006dB,-4.18244597074757e-002°)
1.23879658653036e+000	(-2.33673301873574e-006dB,-4.19208750379175e-002°)
1.24165230759241e+000	(-2.34751888742302e-006dB,-4.20175126286043e-002°)
1.24451461177138e+000	(-2.35835454243565e-006dB,-4.21143729918983e-002°)
1.24738351424294e+000	(-2.36924021424815e-006dB,-4.22114566413431e-002°)
1.25025903021771e+000	(-2.38017612947772e-006dB,-4.23087640916663e-002°)
1.25314117494141e+000	(-2.39116252245620e-006dB,-4.24062958587817e-002°)
1.25602996369487e+000	(-2.40219962751540e-006dB,-4.25040524597927e-002°)
1.25892541179416e+000	(-2.41328767898717e-006dB,-4.26020344129946e-002°)
1.26182753459066e+000	(-2.42442690831036e-006dB,-4.27002422378774e-002°)
1.26473634747115e+000	(-2.43561755560277e-006dB,-4.27986764551289e-002°)
1.26765186585784e+000	(-2.44685985519624e-006dB,-4.28973375866370e-002°)
1.27057410520854e+000	(-2.45815404720857e-006dB,-4.29962261554928e-002°)
1.27350308101666e+000	(-2.46950037175758e-006dB,-4.30953426859932e-002°)
1.27643880881134e+000	(-2.48089906703243e-006dB,-4.31946877036436e-002°)
1.27938130415752e+000	(-2.49235037797256e-006dB,-4.32942617351610e-002°)
1.28233058265602e+000	(-2.50385454469579e-006dB,-4.33940653084766e-002°)
1.28528665994361e+000	(-2.51541181214159e-006dB,-4.34940989527385e-002°)
1.28824955169313e+000	(-2.52702242621373e-006dB,-4.35943631983146e-002°)
1.29121927361353e+000	(-2.53868663185168e-006dB,-4.36948585767956e-002°)
1.29419584144998e+000	(-2.55040467592356e-006dB,-4.37955856209973e-002°)
1.29717927098395e+000	(-2.56217681011914e-006dB,-4.38965448649641e-002°)
1.30016957803328e+000	(-2.57400328130652e-006dB,-4.39977368439715e-002°)
1.30316677845229e+000	(-2.58588434213982e-006dB,-4.40991620945286e-002°)
1.30617088813183e+000	(-2.59782024141581e-006dB,-4.42008211543816e-002°)
1.30918192299940e+000	(-2.60981123564590e-006dB,-4.43027145625161e-002°)
